"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses","question_order"
"[{""page_index"":0,""viewing_time"":2534}]","2535","Instructions","COVIDCONTROL","instructions","14","131590","0.0-15.0","","",""
"","15733","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","15","147326","0.0-16.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Personas mayores a 60 años""]}","[0]"
"","15255","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","16","162582","0.0-17.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo""}",""
"","7222","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","17","169805","0.0-18.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Bueno""}",""
"","22456","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","18","192263","0.0-19.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;En mi país"",""&nbsp;En mi provincia o región"",""&nbsp;En mi ciudad"",""&nbsp;En mi trabajo, o en el colegio o jardín infantil donde asisten los niños que viven en mi casa"",""&nbsp;Dentro de mis conocidos"",""&nbsp;Dentro de mis amigos cercanos"",""&nbsp;Dentro de mi familia""]}","[0]"
"","6918","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","19","199182","0.0-20.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","5390","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","20","204574","0.0-21.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Bajo riesgo""}",""
"","5303","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","21","209878","0.0-22.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Bajo riesgo""}",""
"","12054","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","22","221933","0.0-23.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","2488","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","23","224422","0.0-24.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","5751","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","24","230174","0.0-25.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","6750","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","25","236925","0.0-26.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Peor""}",""
"","5320","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","26","242246","0.0-27.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" Tengo el mismo trabajo""}",""
"","9670","COVIDCONTROL_13","COVIDCONTROL","html-slider-response-CSCN","27","251918","0.0-28.0","{""Q0"":""¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?""}","{""Q0"":""6""}",""
