"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses","question_order"
"[{""page_index"":0,""viewing_time"":3282}]","3283","Instructions","COVIDCONTROL","instructions","96","662814","0.0-112.0","","",""
"","21237.200000003213","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","97","684069","0.0-113.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Esposo(a)/Pareja""]}","[0]"
"","37395","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","98","721476","0.0-114.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo""}",""
"","7671","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","99","729158","0.0-115.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Bueno""}",""
"","9947.599999999511","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","100","739125","0.0-116.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;Dentro de mi familia""]}","[0]"
"","10655","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","101","749791","0.0-117.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","9496","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","102","759299","0.0-118.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","4668","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","103","763979","0.0-119.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Muy bajo riesgo""}",""
"","11082","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","104","775073","0.0-120.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","8803","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","105","783888","0.0-121.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","5046","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","106","788946","0.0-122.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Bajo riesgo""}",""
"","10357","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","107","799312","0.0-123.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Igual""}",""
"","10095","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","108","809419","0.0-124.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" Tengo el mismo trabajo""}",""
"","26102.100000000093","COVIDCONTROL_13","COVIDCONTROL","html-slider-response-CSCN","109","835527","0.0-125.0","{""Q0"":""¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?""}","{""Q0"":""5""}",""
