"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses","question_order"
"[{""page_index"":0,""viewing_time"":5265}]","5265","Instructions","COVIDCONTROL","instructions","95","660043","0.0-112.0","","",""
"","11817.899999965448","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","96","671866","0.0-113.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Personas mayores a 60 años""]}","[0]"
"","24877","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","97","696748","0.0-114.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Estoy en cuarentena/distanciamiento social obligatorio (decretado por el Gobierno y/o el sistema público de salud)""}",""
"","6438","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","98","703190","0.0-115.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Bueno""}",""
"","25963.800000026822","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","99","729161","0.0-116.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;En mi ciudad""]}","[0]"
"","9771","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","100","738935","0.0-117.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","7970","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","101","746910","0.0-118.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","4752","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","102","751668","0.0-119.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","5582","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","103","757254","0.0-120.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","6650","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","104","763909","0.0-121.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","6693","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","105","770606","0.0-122.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","7742","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","106","778353","0.0-123.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Peor""}",""
"","11843","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","107","790201","0.0-124.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" Perdí mi trabajo de forma permanente""}",""
"","12374.599999981001","COVIDCONTROL_13","COVIDCONTROL","html-slider-response-CSCN","108","802581","0.0-125.0","{""Q0"":""¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?""}","{""Q0"":""1""}",""
