"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses","question_order"
"[{""page_index"":0,""viewing_time"":6378}]","6379","Instructions","COVIDCONTROL","instructions","95","1099088","0.0-112.0","","",""
"","21527.600000001257","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","96","1120634","0.0-113.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Hijo/a(s)"",""&nbsp;Personas mayores a 60 años"",""&nbsp;Mascota(s)"",""&nbsp;Esposo(a)/Pareja""]}","[0]"
"","39152","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","97","1159800","0.0-114.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Hago mis quehaceres de forma normal (trabajo, colegio, etc), pero no voy a restaurantes, cines, etc""}",""
"","19504","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","98","1179315","0.0-115.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Bueno""}",""
"","26520.499999998603","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","99","1205856","0.0-116.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;Dentro de mis conocidos""]}","[0]"
"","10924","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","100","1216794","0.0-117.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","7670","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","101","1224478","0.0-118.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","5635","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","102","1230128","0.0-119.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","4453","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","103","1234594","0.0-120.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","5860","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","104","1240468","0.0-121.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","12911","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","105","1253396","0.0-122.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","10395","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","106","1263803","0.0-123.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Peor""}",""
"","10132","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","107","1273948","0.0-124.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" Tengo el mismo trabajo""}",""
"","12241.299999994226","COVIDCONTROL_13","COVIDCONTROL","html-slider-response-CSCN","108","1286195","0.0-125.0","{""Q0"":""¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?""}","{""Q0"":""3""}",""
