"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses","question_order"
"[{""page_index"":0,""viewing_time"":2150}]","2150","Instructions","COVIDCONTROL","instructions","95","621051","0.0-112.0","","",""
"","16653.510000091046","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","96","637708","0.0-113.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Hijo/a(s)"",""&nbsp;Esposo(a)/Pareja""]}","[0]"
"","69324","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","97","707035","0.0-114.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Hago mis quehaceres de forma normal (trabajo, colegio, etc), pero no voy a restaurantes, cines, etc""}",""
"","8102","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","98","715139","0.0-115.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Bastante bueno""}",""
"","9684.334999881685","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","99","724827","0.0-116.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;No""]}","[0]"
"","19901","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","100","744731","0.0-117.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Muy bajo riesgo""}",""
"","10334","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","101","755066","0.0-118.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Muy bajo riesgo""}",""
"","38822","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","102","793890","0.0-119.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Muy bajo riesgo""}",""
"","9749","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","103","803642","0.0-120.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Bajo riesgo""}",""
"","9998","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","104","813641","0.0-121.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Muy bajo riesgo""}",""
"","42445","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","105","856089","0.0-122.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Muy bajo riesgo""}",""
"","9085","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","106","865177","0.0-123.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Igual""}",""
"","37005","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","107","902184","0.0-124.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" Perdí mi trabajo de forma permanente, pero obtuve otro""}",""
"","1395814.5800000057","COVIDCONTROL_13","COVIDCONTROL","html-slider-response-CSCN","108","2298000","0.0-125.0","{""Q0"":""¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?""}","{""Q0"":""6""}",""
