"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses","question_order"
"[{""page_index"":0,""viewing_time"":7742}]","7743","Instructions","COVIDCONTROL","instructions","96","1267406","0.0-112.0","","",""
"","61198.80000000005","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","97","1328629","0.0-113.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Hermano/a(s)/otro familiar menor de 60 años"",""&nbsp;Mascota(s)"",""&nbsp;Esposo(a)/Pareja""]}","[0]"
"","51064","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","98","1379716","0.0-114.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo""}",""
"","14212","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","99","1393944","0.0-115.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Bueno""}",""
"","25201.19999999972","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","100","1419172","0.0-116.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;Dentro de mi familia""]}","[0]"
"","23243","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","101","1442430","0.0-117.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Bajo riesgo""}",""
"","19532","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","102","1461977","0.0-118.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Bajo riesgo""}",""
"","8438","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","103","1470431","0.0-119.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Bajo riesgo""}",""
"","12167","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","104","1482615","0.0-120.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Bajo riesgo""}",""
"","12069","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","105","1494703","0.0-121.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Bajo riesgo""}",""
"","9553","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","106","1504271","0.0-122.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Bajo riesgo""}",""
"","22176","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","107","1526497","0.0-123.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Igual""}",""
"","18450","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","108","1544963","0.0-124.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" Tengo el mismo trabajo""}",""
"","32721.300000000978","COVIDCONTROL_13","COVIDCONTROL","html-slider-response-CSCN","109","1577694","0.0-125.0","{""Q0"":""¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?""}","{""Q0"":""6""}",""
