"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses","question_order"
"true","COVIDCONTROL","fullscreen","102","726427","0.0-111.0-0.0","","","","","",""
"","COVIDCONTROL","instructions","103","735254","0.0-112.0","[{""page_index"":0,""viewing_time"":8824}]","8825","Instructions","","",""
"","COVIDCONTROL","survey-multi-select","104","748668","0.0-113.0","","13380","COVIDCONTROL_01","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Compañero(a) de vivienda menor de 60 años"",""&nbsp;Esposo(a)/Pareja""]}","[0]"
"","COVIDCONTROL","survey-multi-choice-vertical","105","774144","0.0-114.0","","25466","COVIDCONTROL_02","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo""}",""
"","COVIDCONTROL","survey-multi-choice-vertical","106","782941","0.0-115.0","","8790","COVIDCONTROL_03","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Ni bueno ni malo""}",""
"","COVIDCONTROL","survey-multi-select","107","798243","0.0-116.0","","15291","COVIDCONTROL_04","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;Dentro de mis amigos cercanos"",""&nbsp;Dentro de mi familia""]}","[0]"
"","COVIDCONTROL","survey-multi-choice-vertical","108","805959","0.0-117.0","","7708","COVIDCONTROL_05","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","COVIDCONTROL","survey-multi-choice-vertical","109","817244","0.0-118.0","","11274","COVIDCONTROL_06","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","COVIDCONTROL","survey-multi-choice-vertical","110","823562","0.0-119.0","","6310","COVIDCONTROL_07","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","COVIDCONTROL","survey-multi-choice-vertical","111","830993","0.0-120.0","","7420","COVIDCONTROL_08","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","COVIDCONTROL","survey-multi-choice-vertical","112","838934","0.0-121.0","","7933","COVIDCONTROL_09","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","COVIDCONTROL","survey-multi-choice-vertical","113","844792","0.0-122.0","","5850","COVIDCONTROL_10","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","COVIDCONTROL","survey-multi-choice-vertical","114","858086","0.0-123.0","","13288","COVIDCONTROL_11","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" No lo sé / Prefiero no responder""}",""
"","COVIDCONTROL","survey-multi-choice-vertical","115","869634","0.0-124.0","","11536","COVIDCONTROL_12","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" Tengo el mismo trabajo""}",""
"","COVIDCONTROL","html-slider-response-CSCN","116","886367","0.0-125.0","","16726","COVIDCONTROL_13","{""Q0"":""¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?""}","{""Q0"":""8""}",""
