"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses","question_order"
"[{""page_index"":0,""viewing_time"":2339}]","2339","Instructions","COVIDCONTROL","instructions","96","554522","0.0-112.0","","",""
"","19847.080000006827","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","97","574371","0.0-113.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Hermano/a(s)/otro familiar menor de 60 años""]}","[0]"
"","17550","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","98","591922","0.0-114.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo""}",""
"","7655","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","99","599578","0.0-115.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Bastante bueno""}",""
"","23046.2300000072","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","100","622626","0.0-116.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;Dentro de mis amigos cercanos"",""&nbsp;Dentro de mi familia"",""&nbsp;En mi hogar""]}","[0]"
"","10318","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","101","632946","0.0-117.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","4839","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","102","637786","0.0-118.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Bajo riesgo""}",""
"","2543","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","103","640330","0.0-119.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Muy bajo riesgo""}",""
"","5583","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","104","645914","0.0-120.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Muy alto riesgo""}",""
"","2799","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","105","648714","0.0-121.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","5783","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","106","654498","0.0-122.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","11111","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","107","665610","0.0-123.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" No lo sé / Prefiero no responder""}",""
"","6903","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","108","672515","0.0-124.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" Tengo el mismo trabajo""}",""
"","7478.124999994179","COVIDCONTROL_13","COVIDCONTROL","html-slider-response-CSCN","109","679994","0.0-125.0","{""Q0"":""¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?""}","{""Q0"":""2""}",""
