"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses","question_order"
"[{""page_index"":0,""viewing_time"":3417}]","3419","Instructions","COVIDCONTROL","instructions","95","580903","0.0-112.0","","",""
"","46160.09999997914","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","96","627090","0.0-113.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Hermano/a(s)/otro familiar menor de 60 años""]}","[0]"
"","33535","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","97","660639","0.0-114.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Hago mis quehaceres de forma normal (trabajo, colegio, etc), pero no voy a restaurantes, cines, etc""}",""
"","5308","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","98","665959","0.0-115.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Ni bueno ni malo""}",""
"","18225.800000014715","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","99","684217","0.0-116.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;Dentro de mis conocidos"",""&nbsp;Dentro de mis amigos cercanos"",""&nbsp;Dentro de mi familia"",""&nbsp;Yo tengo/tuve COVID-19""]}","[0]"
"","7871","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","100","692105","0.0-117.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","6840","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","101","698955","0.0-118.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Muy bajo riesgo""}",""
"","3579","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","102","702552","0.0-119.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Muy bajo riesgo""}",""
"","4424","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","103","706989","0.0-120.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","4327","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","104","711333","0.0-121.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","2806","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","105","714147","0.0-122.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","13475","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","106","727629","0.0-123.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" No lo sé / Prefiero no responder""}",""
"","8061","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","107","735697","0.0-124.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" Tengo el mismo trabajo""}",""
"","10714.900000020862","COVIDCONTROL_13","COVIDCONTROL","html-slider-response-CSCN","108","746418","0.0-125.0","{""Q0"":""¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?""}","{""Q0"":""5""}",""
