"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses","question_order"
"[{""page_index"":0,""viewing_time"":4591}]","4592","Instructions","COVIDCONTROL","instructions","95","762259","0.0-112.0","","",""
"","19475.900000004913","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","96","781755","0.0-113.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Personas mayores a 60 años"",""&nbsp;Mascota(s)""]}","[0]"
"","28988","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","97","810758","0.0-114.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Estoy en cuarentena/distanciamiento social obligatorio (decretado por el Gobierno y/o el sistema público de salud)""}",""
"","10569","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","98","821343","0.0-115.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Ni bueno ni malo""}",""
"","33539.499999998836","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","99","854910","0.0-116.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;En mi país"",""&nbsp;En mi provincia o región"",""&nbsp;En mi ciudad""]}","[0]"
"","6513","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","100","861441","0.0-117.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Muy bajo riesgo""}",""
"","5917","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","101","867373","0.0-118.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Muy bajo riesgo""}",""
"","2590","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","102","869981","0.0-119.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Muy bajo riesgo""}",""
"","5381","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","103","875378","0.0-120.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","5110","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","104","880505","0.0-121.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","4410","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","105","884931","0.0-122.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","12304","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","106","897249","0.0-123.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Peor""}",""
"","15490","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","107","912754","0.0-124.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" Perdí mi trabajo temporalmente (congelamiento de contrato o similar)""}",""
"","10680.69999999716","COVIDCONTROL_13","COVIDCONTROL","html-slider-response-CSCN","108","923441","0.0-125.0","{""Q0"":""¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?""}","{""Q0"":""4""}",""
