"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses","question_order"
"[{""page_index"":0,""viewing_time"":12734}]","12735","Instructions","COVIDCONTROL","instructions","95","2269392","0.0-112.0","","",""
"","32727.70000001788","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","96","2302140","0.0-113.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Mascota(s)"",""&nbsp;Vivo solo(a)""]}","[0]"
"","92277","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","97","2394433","0.0-114.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Hago mis quehaceres de forma normal (trabajo, colegio, etc), pero no voy a restaurantes, cines, etc""}",""
"","42437","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","98","2436885","0.0-115.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Bueno""}",""
"","125188.50000001863","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","99","2562098","0.0-116.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;En mi trabajo, o en el colegio o jardín infantil donde asisten los niños que viven en mi casa"",""&nbsp;Dentro de mis conocidos""]}","[0]"
"","12299","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","100","2574412","0.0-117.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Bajo riesgo""}",""
"","22377","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","101","2596805","0.0-118.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","46608","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","102","2643428","0.0-119.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","27264","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","103","2670707","0.0-120.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","35462","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","104","2706184","0.0-121.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","33341","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","105","2739548","0.0-122.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","31137","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","106","2770698","0.0-123.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Igual""}",""
"","20231","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","107","2790945","0.0-124.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" Tengo el mismo trabajo""}",""
"","60881.00000002282","COVIDCONTROL_13","COVIDCONTROL","html-slider-response-CSCN","108","2851833","0.0-125.0","{""Q0"":""¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?""}","{""Q0"":""5""}",""
