"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","fullscreen","0","3421","0.0-0.0","","","","",""
"","instructions","1","5482","0.0-1.0","[{""page_index"":0,""viewing_time"":2057}]","2058","Instructions","",""
"","survey-multi-choice-vertical","2","13374","0.0-2.0","","7880","EAR_01","{""Q0"":""Siento que soy una persona digna de aprecio, al menos en igual medida que los demás.""}","{""Q0"":"" De acuerdo""}"
"","survey-multi-choice-vertical","3","17250","0.0-3.0","","3866","EAR_02","{""Q0"":""Creo que tengo un buen número de cualidades.""}","{""Q0"":"" De acuerdo""}"
"","survey-multi-choice-vertical","4","25038","0.0-4.0","","7781","EAR_03","{""Q0"":""En general, me inclino a pensar que soy un/a fracasado/a.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","5","40223","0.0-5.0","","15177","EAR_04","{""Q0"":""Soy capaz de hacer las cosas tan bien como la mayoría de la gente.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","6","45527","0.0-6.0","","5295","EAR_05","{""Q0"":""Siento que no tengo muchos motivos para sentirme orgulloso/a de mi.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","7","50600","0.0-7.0","","5064","EAR_06","{""Q0"":""Tengo una actitud positiva hacia mí mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","survey-multi-choice-vertical","8","56052","0.0-8.0","","5443","EAR_07","{""Q0"":""En general, estoy satisfecho conmigo mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","survey-multi-choice-vertical","9","64380","0.0-9.0","","8320","EAR_08","{""Q0"":""Desearía valorarme más a mi mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","survey-multi-choice-vertical","10","68405","0.0-10.0","","4017","EAR_09","{""Q0"":""A veces me siento verdaderamente inútil.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","11","72799","0.0-11.0","","4385","EAR_10","{""Q0"":""A veces pienso que no soy bueno/a para nada.""}","{""Q0"":"" Muy en desacuerdo""}"
