"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":1053}]","1054","Instructions","EAR","instructions","32","653461","0.0-42.0","",""
"","10347","EAR_01","EAR","survey-multi-choice-vertical","33","663811","0.0-43.0","{""Q0"":""Siento que soy una persona digna de aprecio, al menos en igual medida que los demás.""}","{""Q0"":"" De acuerdo""}"
"","46442","EAR_02","EAR","survey-multi-choice-vertical","34","710256","0.0-44.0","{""Q0"":""Creo que tengo un buen número de cualidades.""}","{""Q0"":"" De acuerdo""}"
"","126835","EAR_03","EAR","survey-multi-choice-vertical","35","837094","0.0-45.0","{""Q0"":""En general, me inclino a pensar que soy un/a fracasado/a.""}","{""Q0"":"" De acuerdo""}"
"","19745","EAR_04","EAR","survey-multi-choice-vertical","36","856842","0.0-46.0","{""Q0"":""Soy capaz de hacer las cosas tan bien como la mayoría de la gente.""}","{""Q0"":"" De acuerdo""}"
"","12611","EAR_05","EAR","survey-multi-choice-vertical","37","869456","0.0-47.0","{""Q0"":""Siento que no tengo muchos motivos para sentirme orgulloso/a de mi.""}","{""Q0"":"" De acuerdo""}"
"","27721","EAR_06","EAR","survey-multi-choice-vertical","38","897180","0.0-48.0","{""Q0"":""Tengo una actitud positiva hacia mí mismo/a.""}","{""Q0"":"" En desacuerdo""}"
"","12656","EAR_07","EAR","survey-multi-choice-vertical","39","909838","0.0-49.0","{""Q0"":""En general, estoy satisfecho conmigo mismo/a.""}","{""Q0"":"" En desacuerdo""}"
"","74511","EAR_08","EAR","survey-multi-choice-vertical","40","984353","0.0-50.0","{""Q0"":""Desearía valorarme más a mi mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","5684","EAR_09","EAR","survey-multi-choice-vertical","41","990040","0.0-51.0","{""Q0"":""A veces me siento verdaderamente inútil.""}","{""Q0"":"" En desacuerdo""}"
"","20223","EAR_10","EAR","survey-multi-choice-vertical","42","1010267","0.0-52.0","{""Q0"":""A veces pienso que no soy bueno/a para nada.""}","{""Q0"":"" En desacuerdo""}"
