"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":1421}]","1422","Instructions","EAR","instructions","33","90475","0.0-43.0","",""
"","9838","EAR_01","EAR","survey-multi-choice-vertical","34","100320","0.0-44.0","{""Q0"":""Siento que soy una persona digna de aprecio, al menos en igual medida que los demás.""}","{""Q0"":"" De acuerdo""}"
"","7375","EAR_02","EAR","survey-multi-choice-vertical","35","107704","0.0-45.0","{""Q0"":""Creo que tengo un buen número de cualidades.""}","{""Q0"":"" De acuerdo""}"
"","4423","EAR_03","EAR","survey-multi-choice-vertical","36","112135","0.0-46.0","{""Q0"":""En general, me inclino a pensar que soy un/a fracasado/a.""}","{""Q0"":"" En desacuerdo""}"
"","6127","EAR_04","EAR","survey-multi-choice-vertical","37","118272","0.0-47.0","{""Q0"":""Soy capaz de hacer las cosas tan bien como la mayoría de la gente.""}","{""Q0"":"" Muy de acuerdo""}"
"","5307","EAR_05","EAR","survey-multi-choice-vertical","38","123588","0.0-48.0","{""Q0"":""Siento que no tengo muchos motivos para sentirme orgulloso/a de mi.""}","{""Q0"":"" En desacuerdo""}"
"","3327","EAR_06","EAR","survey-multi-choice-vertical","39","126924","0.0-49.0","{""Q0"":""Tengo una actitud positiva hacia mí mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","2635","EAR_07","EAR","survey-multi-choice-vertical","40","129567","0.0-50.0","{""Q0"":""En general, estoy satisfecho conmigo mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","8886","EAR_08","EAR","survey-multi-choice-vertical","41","138460","0.0-51.0","{""Q0"":""Desearía valorarme más a mi mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","3919","EAR_09","EAR","survey-multi-choice-vertical","42","142388","0.0-52.0","{""Q0"":""A veces me siento verdaderamente inútil.""}","{""Q0"":"" Muy en desacuerdo""}"
"","2318","EAR_10","EAR","survey-multi-choice-vertical","43","144714","0.0-53.0","{""Q0"":""A veces pienso que no soy bueno/a para nada.""}","{""Q0"":"" Muy en desacuerdo""}"
