"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":1919}]","1920","Instructions","EAR","instructions","33","152508","0.0-43.0","",""
"","5283","EAR_01","EAR","survey-multi-choice-vertical","34","157803","0.0-44.0","{""Q0"":""Siento que soy una persona digna de aprecio, al menos en igual medida que los demás.""}","{""Q0"":"" Muy de acuerdo""}"
"","3102","EAR_02","EAR","survey-multi-choice-vertical","35","160918","0.0-45.0","{""Q0"":""Creo que tengo un buen número de cualidades.""}","{""Q0"":"" Muy de acuerdo""}"
"","4264","EAR_03","EAR","survey-multi-choice-vertical","36","165192","0.0-46.0","{""Q0"":""En general, me inclino a pensar que soy un/a fracasado/a.""}","{""Q0"":"" Muy en desacuerdo""}"
"","5054","EAR_04","EAR","survey-multi-choice-vertical","37","170258","0.0-47.0","{""Q0"":""Soy capaz de hacer las cosas tan bien como la mayoría de la gente.""}","{""Q0"":"" Muy de acuerdo""}"
"","4222","EAR_05","EAR","survey-multi-choice-vertical","38","174493","0.0-48.0","{""Q0"":""Siento que no tengo muchos motivos para sentirme orgulloso/a de mi.""}","{""Q0"":"" Muy en desacuerdo""}"
"","2445","EAR_06","EAR","survey-multi-choice-vertical","39","176950","0.0-49.0","{""Q0"":""Tengo una actitud positiva hacia mí mismo/a.""}","{""Q0"":"" Muy de acuerdo""}"
"","2158","EAR_07","EAR","survey-multi-choice-vertical","40","179121","0.0-50.0","{""Q0"":""En general, estoy satisfecho conmigo mismo/a.""}","{""Q0"":"" Muy de acuerdo""}"
"","5804","EAR_08","EAR","survey-multi-choice-vertical","41","184937","0.0-51.0","{""Q0"":""Desearía valorarme más a mi mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","5002","EAR_09","EAR","survey-multi-choice-vertical","42","189950","0.0-52.0","{""Q0"":""A veces me siento verdaderamente inútil.""}","{""Q0"":"" En desacuerdo""}"
"","4822","EAR_10","EAR","survey-multi-choice-vertical","43","194784","0.0-53.0","{""Q0"":""A veces pienso que no soy bueno/a para nada.""}","{""Q0"":"" Muy en desacuerdo""}"
