"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":1536}]","1537","Instructions","EAR","instructions","33","239902","0.0-43.0","",""
"","12057","EAR_01","EAR","survey-multi-choice-vertical","34","251971","0.0-44.0","{""Q0"":""Siento que soy una persona digna de aprecio, al menos en igual medida que los demás.""}","{""Q0"":"" Muy de acuerdo""}"
"","3280","EAR_02","EAR","survey-multi-choice-vertical","35","255264","0.0-45.0","{""Q0"":""Creo que tengo un buen número de cualidades.""}","{""Q0"":"" Muy de acuerdo""}"
"","4786","EAR_03","EAR","survey-multi-choice-vertical","36","260061","0.0-46.0","{""Q0"":""En general, me inclino a pensar que soy un/a fracasado/a.""}","{""Q0"":"" Muy en desacuerdo""}"
"","8532","EAR_04","EAR","survey-multi-choice-vertical","37","268607","0.0-47.0","{""Q0"":""Soy capaz de hacer las cosas tan bien como la mayoría de la gente.""}","{""Q0"":"" De acuerdo""}"
"","4061","EAR_05","EAR","survey-multi-choice-vertical","38","272680","0.0-48.0","{""Q0"":""Siento que no tengo muchos motivos para sentirme orgulloso/a de mi.""}","{""Q0"":"" Muy en desacuerdo""}"
"","2907","EAR_06","EAR","survey-multi-choice-vertical","39","275602","0.0-49.0","{""Q0"":""Tengo una actitud positiva hacia mí mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","3838","EAR_07","EAR","survey-multi-choice-vertical","40","279452","0.0-50.0","{""Q0"":""En general, estoy satisfecho conmigo mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","3170","EAR_08","EAR","survey-multi-choice-vertical","41","282635","0.0-51.0","{""Q0"":""Desearía valorarme más a mi mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","3691","EAR_09","EAR","survey-multi-choice-vertical","42","286340","0.0-52.0","{""Q0"":""A veces me siento verdaderamente inútil.""}","{""Q0"":"" Muy en desacuerdo""}"
"","2809","EAR_10","EAR","survey-multi-choice-vertical","43","289169","0.0-53.0","{""Q0"":""A veces pienso que no soy bueno/a para nada.""}","{""Q0"":"" Muy en desacuerdo""}"
