"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":1350}]","1351","Instructions","EAR","instructions","33","114154","0.0-43.0","",""
"","4311","EAR_01","EAR","survey-multi-choice-vertical","34","118472","0.0-44.0","{""Q0"":""Siento que soy una persona digna de aprecio, al menos en igual medida que los demás.""}","{""Q0"":"" Muy de acuerdo""}"
"","2215","EAR_02","EAR","survey-multi-choice-vertical","35","120694","0.0-45.0","{""Q0"":""Creo que tengo un buen número de cualidades.""}","{""Q0"":"" Muy de acuerdo""}"
"","3049","EAR_03","EAR","survey-multi-choice-vertical","36","123748","0.0-46.0","{""Q0"":""En general, me inclino a pensar que soy un/a fracasado/a.""}","{""Q0"":"" De acuerdo""}"
"","6357","EAR_04","EAR","survey-multi-choice-vertical","37","130117","0.0-47.0","{""Q0"":""Soy capaz de hacer las cosas tan bien como la mayoría de la gente.""}","{""Q0"":"" De acuerdo""}"
"","3295","EAR_05","EAR","survey-multi-choice-vertical","38","133417","0.0-48.0","{""Q0"":""Siento que no tengo muchos motivos para sentirme orgulloso/a de mi.""}","{""Q0"":"" En desacuerdo""}"
"","3240","EAR_06","EAR","survey-multi-choice-vertical","39","136664","0.0-49.0","{""Q0"":""Tengo una actitud positiva hacia mí mismo/a.""}","{""Q0"":"" Muy en desacuerdo""}"
"","2789","EAR_07","EAR","survey-multi-choice-vertical","40","139458","0.0-50.0","{""Q0"":""En general, estoy satisfecho conmigo mismo/a.""}","{""Q0"":"" En desacuerdo""}"
"","1989","EAR_08","EAR","survey-multi-choice-vertical","41","141453","0.0-51.0","{""Q0"":""Desearía valorarme más a mi mismo/a.""}","{""Q0"":"" Muy de acuerdo""}"
"","3098","EAR_09","EAR","survey-multi-choice-vertical","42","144557","0.0-52.0","{""Q0"":""A veces me siento verdaderamente inútil.""}","{""Q0"":"" De acuerdo""}"
"","2110","EAR_10","EAR","survey-multi-choice-vertical","43","146672","0.0-53.0","{""Q0"":""A veces pienso que no soy bueno/a para nada.""}","{""Q0"":"" De acuerdo""}"
