"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":2974}]","2974","Instructions","EAR","instructions","33","406999","0.0-43.0","",""
"","6219","EAR_01","EAR","survey-multi-choice-vertical","34","413223","0.0-44.0","{""Q0"":""Siento que soy una persona digna de aprecio, al menos en igual medida que los demás.""}","{""Q0"":"" De acuerdo""}"
"","4961","EAR_02","EAR","survey-multi-choice-vertical","35","418189","0.0-45.0","{""Q0"":""Creo que tengo un buen número de cualidades.""}","{""Q0"":"" De acuerdo""}"
"","4686","EAR_03","EAR","survey-multi-choice-vertical","36","422884","0.0-46.0","{""Q0"":""En general, me inclino a pensar que soy un/a fracasado/a.""}","{""Q0"":"" En desacuerdo""}"
"","12458","EAR_04","EAR","survey-multi-choice-vertical","37","435346","0.0-47.0","{""Q0"":""Soy capaz de hacer las cosas tan bien como la mayoría de la gente.""}","{""Q0"":"" De acuerdo""}"
"","5989","EAR_05","EAR","survey-multi-choice-vertical","38","441340","0.0-48.0","{""Q0"":""Siento que no tengo muchos motivos para sentirme orgulloso/a de mi.""}","{""Q0"":"" En desacuerdo""}"
"","3598","EAR_06","EAR","survey-multi-choice-vertical","39","444942","0.0-49.0","{""Q0"":""Tengo una actitud positiva hacia mí mismo/a.""}","{""Q0"":"" Muy de acuerdo""}"
"","3873","EAR_07","EAR","survey-multi-choice-vertical","40","448822","0.0-50.0","{""Q0"":""En general, estoy satisfecho conmigo mismo/a.""}","{""Q0"":"" Muy de acuerdo""}"
"","14545","EAR_08","EAR","survey-multi-choice-vertical","41","463371","0.0-51.0","{""Q0"":""Desearía valorarme más a mi mismo/a.""}","{""Q0"":"" En desacuerdo""}"
"","3268","EAR_09","EAR","survey-multi-choice-vertical","42","466643","0.0-52.0","{""Q0"":""A veces me siento verdaderamente inútil.""}","{""Q0"":"" En desacuerdo""}"
"","8077","EAR_10","EAR","survey-multi-choice-vertical","43","474727","0.0-53.0","{""Q0"":""A veces pienso que no soy bueno/a para nada.""}","{""Q0"":"" Muy en desacuerdo""}"
