"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":1668}]","1668","Instructions","EAR","instructions","33","151794","0.0-43.0","",""
"","4829","EAR_01","EAR","survey-multi-choice-vertical","34","156627","0.0-44.0","{""Q0"":""Siento que soy una persona digna de aprecio, al menos en igual medida que los demás.""}","{""Q0"":"" Muy de acuerdo""}"
"","3020","EAR_02","EAR","survey-multi-choice-vertical","35","159651","0.0-45.0","{""Q0"":""Creo que tengo un buen número de cualidades.""}","{""Q0"":"" Muy de acuerdo""}"
"","4795","EAR_03","EAR","survey-multi-choice-vertical","36","164449","0.0-46.0","{""Q0"":""En general, me inclino a pensar que soy un/a fracasado/a.""}","{""Q0"":"" Muy en desacuerdo""}"
"","5036","EAR_04","EAR","survey-multi-choice-vertical","37","169488","0.0-47.0","{""Q0"":""Soy capaz de hacer las cosas tan bien como la mayoría de la gente.""}","{""Q0"":"" Muy de acuerdo""}"
"","4154","EAR_05","EAR","survey-multi-choice-vertical","38","173645","0.0-48.0","{""Q0"":""Siento que no tengo muchos motivos para sentirme orgulloso/a de mi.""}","{""Q0"":"" Muy en desacuerdo""}"
"","5539","EAR_06","EAR","survey-multi-choice-vertical","39","179189","0.0-49.0","{""Q0"":""Tengo una actitud positiva hacia mí mismo/a.""}","{""Q0"":"" Muy de acuerdo""}"
"","2514","EAR_07","EAR","survey-multi-choice-vertical","40","181707","0.0-50.0","{""Q0"":""En general, estoy satisfecho conmigo mismo/a.""}","{""Q0"":"" Muy de acuerdo""}"
"","15072","EAR_08","EAR","survey-multi-choice-vertical","41","196783","0.0-51.0","{""Q0"":""Desearía valorarme más a mi mismo/a.""}","{""Q0"":"" Muy en desacuerdo""}"
"","2894","EAR_09","EAR","survey-multi-choice-vertical","42","199679","0.0-52.0","{""Q0"":""A veces me siento verdaderamente inútil.""}","{""Q0"":"" Muy en desacuerdo""}"
"","4569","EAR_10","EAR","survey-multi-choice-vertical","43","204253","0.0-53.0","{""Q0"":""A veces pienso que no soy bueno/a para nada.""}","{""Q0"":"" Muy en desacuerdo""}"
