"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":2185}]","2186","Instructions","instructions","0","2186","0.0-0.0","",""
"","3097.9149999911897","OTRASRELIG_01","html-slider-response-CSCN","1","5286","0.0-1.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""1""}"
"","1479","OTRASRELIG_02","survey-multi-choice-vertical","2","6766","0.0-2.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" No""}"
"","7348","OTRASRELIG_03","survey-multi-choice-vertical","3","14115","0.0-3.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" No""}"
"","2024","OTRASRELIG_04","survey-multi-choice-vertical","4","16140","0.0-4.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","1320","OTRASRELIG_05","survey-multi-choice-vertical","5","17462","0.0-5.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","2867","OTRASRELIG_06","survey-multi-choice-vertical","6","20330","0.0-6.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","5704","OTRASRELIG_08","survey-multi-choice-vertical","7","26035","0.0-8.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" No tengo una preferencia y/o afiliación religiosa""}"
"","9757","OTRASRELIG_10","survey-multi-choice-vertical","8","35795","0.0-10.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Algunos sí, otros no (aproximadamente mitad sí y mitad no)""}"
"","15107","OTRASRELIG_11","survey-multi-choice-vertical","9","50904","0.0-11.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Nunca, o practicamente nunca""}"
