"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":2958}]","2959","Instructions","instructions","0","2962","0.0-0.0","",""
"","16324.135000000068","OTRASRELIG_01","html-slider-response-CSCN","1","19291","0.0-1.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""6""}"
"","4539","OTRASRELIG_02","survey-multi-choice-vertical","2","23835","0.0-2.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","7520","OTRASRELIG_03","survey-multi-choice-vertical","3","31358","0.0-3.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","4530","OTRASRELIG_04","survey-multi-choice-vertical","4","35891","0.0-4.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","4012","OTRASRELIG_05","survey-multi-choice-vertical","5","39906","0.0-5.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","11003","OTRASRELIG_06","survey-multi-choice-vertical","6","50914","0.0-6.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), de otra afiliación.""}"
"","24165","OTRASRELIG_07","survey-text","7","75091","0.0-7.0-0.0","{""Q0"":""¿Cuál es su religión?""}","{""Q0"":""testigo de jehova""}"
"","12869","OTRASRELIG_08","survey-multi-choice-vertical","8","87964","0.0-8.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Otro""}"
"","5724","OTRASRELIG_09","survey-text","9","93697","0.0-9.0-0.0","{""Q0"":""¿Cuál es su preferencia y/o afiliación religiosa?""}","{""Q0"":"" n""}"
"","9677","OTRASRELIG_10","survey-multi-choice-vertical","10","103379","0.0-10.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Solo algunos""}"
"","7365","OTRASRELIG_11","survey-multi-choice-vertical","11","110751","0.0-11.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Nunca, o practicamente nunca""}"
