"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":782}]","783","Instructions","OTRASRELIG","instructions","85","1310885","0.0-98.0","",""
"","5425.00000000291","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","86","1316320","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""1""}"
"","1469","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","87","1317794","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" No""}"
"","2435","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","88","1320234","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" No""}"
"","1911","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","89","1322150","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","1482","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","90","1323637","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","2939","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","91","1326584","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","5027","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","92","1331619","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" No tengo una preferencia y/o afiliación religiosa""}"
"","4715","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","93","1336342","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Casi nadie o nadie""}"
"","17982","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","94","1354335","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Una vez al año""}"
