"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":869}]","870","Instructions","OTRASRELIG","instructions","84","286934","0.0-98.0","",""
"","4270.4999999841675","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","291240","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""9""}"
"","1429","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","292687","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","1711","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","294419","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","5348","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","299784","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","2001","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","301801","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" Sí""}"
"","2043","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","303867","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","4351","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","91","308249","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Católico(a)""}"
"","5859","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","92","314140","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Algunos sí, otros no (aproximadamente mitad sí y mitad no)""}"
"","19003","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","93","333180","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Una vez al año""}"
