"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":3028}]","3028","Instructions","OTRASRELIG","instructions","84","738951","0.0-98.0","",""
"","6030.500000008033","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","744993","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""2""}"
"","2191","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","747188","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","2897","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","750090","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","2624","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","752717","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" Sí""}"
"","5220","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","757941","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","5883","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","763831","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","11606","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","91","775445","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" No tengo una preferencia y/o afiliación religiosa""}"
"","8096","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","92","783547","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Solo algunos""}"
"","9347","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","93","792900","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Nunca, o practicamente nunca""}"
