"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","OTRASRELIG","fullscreen","90","771287","0.0-97.0-0.0","","","","",""
"","OTRASRELIG","instructions","91","773754","0.0-98.0","[{""page_index"":0,""viewing_time"":2467}]","2467","Instructions","",""
"","OTRASRELIG","html-slider-response-CSCN","92","784320","0.0-99.0","","10557","OTRASRELIG_01","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""6""}"
"","OTRASRELIG","survey-multi-choice-vertical","93","790775","0.0-100.0","","6452","OTRASRELIG_02","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","OTRASRELIG","survey-multi-choice-vertical","94","795809","0.0-101.0","","5029","OTRASRELIG_03","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" No""}"
"","OTRASRELIG","survey-multi-choice-vertical","95","799274","0.0-102.0","","3460","OTRASRELIG_04","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","OTRASRELIG","survey-multi-choice-vertical","96","802326","0.0-103.0","","3050","OTRASRELIG_05","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","OTRASRELIG","survey-multi-choice-vertical","97","810542","0.0-104.0","","8211","OTRASRELIG_06","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","OTRASRELIG","survey-multi-choice-vertical","98","823908","0.0-106.0","","13361","OTRASRELIG_08","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" No tengo una preferencia y/o afiliación religiosa""}"
"","OTRASRELIG","survey-multi-choice-vertical","99","833474","0.0-108.0","","9560","OTRASRELIG_10","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Algunos sí, otros no (aproximadamente mitad sí y mitad no)""}"
"","OTRASRELIG","survey-multi-choice-vertical","100","845144","0.0-109.0","","11665","OTRASRELIG_11","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Nunca, o practicamente nunca""}"
