"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":1552}]","1553","Instructions","OTRASRELIG","instructions","84","632071","0.0-98.0","",""
"","5599.499999996624","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","637685","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""10""}"
"","2309","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","640003","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","3213","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","643225","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","3993","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","647223","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" Sí""}"
"","1907","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","649137","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" Sí""}"
"","7006","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","656151","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","6737","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","91","662900","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Católico(a)""}"
"","7042","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","92","669955","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Casi nadie o nadie""}"
"","18582","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","93","688552","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Una vez a la semana""}"
