"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","OTRASRELIG","fullscreen","90","1012738","0.0-97.0-0.0","","","","",""
"","OTRASRELIG","instructions","91","1018023","0.0-98.0","[{""page_index"":0,""viewing_time"":5283}]","5284","Instructions","",""
"","OTRASRELIG","html-slider-response-CSCN","92","1037172","0.0-99.0","","19130","OTRASRELIG_01","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""10""}"
"","OTRASRELIG","survey-multi-choice-vertical","93","1040127","0.0-100.0","","2949","OTRASRELIG_02","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","OTRASRELIG","survey-multi-choice-vertical","94","1044508","0.0-101.0","","4376","OTRASRELIG_03","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","OTRASRELIG","survey-multi-choice-vertical","95","1048516","0.0-102.0","","4002","OTRASRELIG_04","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","OTRASRELIG","survey-multi-choice-vertical","96","1053570","0.0-103.0","","5045","OTRASRELIG_05","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" Sí""}"
"","OTRASRELIG","survey-multi-choice-vertical","97","1059701","0.0-104.0","","6123","OTRASRELIG_06","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","OTRASRELIG","survey-multi-choice-vertical","98","1077201","0.0-106.0","","17488","OTRASRELIG_08","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Otro""}"
"","OTRASRELIG","survey-text","99","1874761","0.0-107.0-0.0","","797528","OTRASRELIG_09","{""Q0"":""¿Cuál es su preferencia y/o afiliación religiosa?""}","{""Q0"":""Creo en Dios como una inteligencia superior sin forma. Para mi las religiones son distintos caminos de llegar a Dios. No me gustan los dogmas. Tratando de encajarla en algo sería holístico o filosofía yoguica. Considero que la mayoría de las religiones actuales menoscaban el pensamiento crítico, transmitiendo normas sin explicar el porqué, alienando, por sobre la integridad ""}"
"","OTRASRELIG","survey-multi-choice-vertical","100","1890267","0.0-108.0","","15493","OTRASRELIG_10","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Casi nadie o nadie""}"
"","OTRASRELIG","survey-multi-choice-vertical","101","1916150","0.0-109.0","","25872","OTRASRELIG_11","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Nunca, o practicamente nunca""}"
