"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":1956}]","1957","Instructions","OTRASRELIG","instructions","84","639789","0.0-98.0","",""
"","9425.800000026356","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","649226","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""10""}"
"","2376","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","651606","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","3594","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","655205","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","6482","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","661691","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","3083","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","664777","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","6870","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","671654","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Protestante (evangélico(a))""}"
"","10916","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","91","682577","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" No tengo una preferencia y/o afiliación religiosa""}"
"","62130","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","92","744715","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Solo algunos""}"
"","8375","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","93","753098","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Nunca, o practicamente nunca""}"
