"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":3113}]","3113","Instructions","OTRASRELIG","instructions","84","468498","0.0-98.0","",""
"","8765.494999999646","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","477266","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""5""}"
"","2839","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","480105","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","2879","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","482986","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","2015","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","485002","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","1663","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","486666","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","7887","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","494553","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), de otra afiliación.""}"
"","32686","OTRASRELIG_07","OTRASRELIG","survey-text","91","527242","0.0-105.0-0.0","{""Q0"":""¿Cuál es su religión?""}","{""Q0"":""Deismo""}"
"","9703","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","92","536946","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" No tengo una preferencia y/o afiliación religiosa""}"
"","5399","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","93","542346","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Casi nadie o nadie""}"
"","9463","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","94","551810","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Menos de una vez al año""}"
