"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":3750}]","3750","Instructions","OTRASRELIG","instructions","84","476385","0.0-98.0","",""
"","11346.199999912642","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","487744","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""8""}"
"","3303","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","491053","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","2870","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","493927","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","4065","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","498003","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","5821","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","503832","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" Sí""}"
"","6396","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","510240","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","9685","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","91","519942","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" No tengo una preferencia y/o afiliación religiosa""}"
"","7848","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","92","527810","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" La gran mayoría""}"
"","16623","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","93","544448","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Menos de una vez al año""}"
