"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","OTRASRELIG","fullscreen","90","234153","0.0-97.0-0.0","","","","",""
"","OTRASRELIG","instructions","91","234693","0.0-98.0","[{""page_index"":0,""viewing_time"":540}]","540","Instructions","",""
"","OTRASRELIG","html-slider-response-CSCN","92","240099","0.0-99.0","","5402.969999999186","OTRASRELIG_01","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""2""}"
"","OTRASRELIG","survey-multi-choice-vertical","93","241414","0.0-100.0","","1314","OTRASRELIG_02","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" No""}"
"","OTRASRELIG","survey-multi-choice-vertical","94","243415","0.0-101.0","","1999","OTRASRELIG_03","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","OTRASRELIG","survey-multi-choice-vertical","95","244890","0.0-102.0","","1475","OTRASRELIG_04","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","OTRASRELIG","survey-multi-choice-vertical","96","246684","0.0-103.0","","1793","OTRASRELIG_05","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","OTRASRELIG","survey-multi-choice-vertical","97","253765","0.0-104.0","","7078","OTRASRELIG_06","{""Q0"":""Fui criado(a)""}","{""Q0"":"" No religioso(a)""}"
"","OTRASRELIG","survey-multi-choice-vertical","98","257510","0.0-106.0","","3744","OTRASRELIG_08","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Otro""}"
"","OTRASRELIG","survey-text","99","261634","0.0-107.0-0.0","","4122","OTRASRELIG_09","{""Q0"":""¿Cuál es su preferencia y/o afiliación religiosa?""}","{""Q0"":""Budismo""}"
"","OTRASRELIG","survey-multi-choice-vertical","100","266849","0.0-108.0","","5213","OTRASRELIG_10","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Solo algunos""}"
"","OTRASRELIG","survey-multi-choice-vertical","101","274574","0.0-109.0","","7722","OTRASRELIG_11","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Nunca, o practicamente nunca""}"
