"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":2587}]","2589","Instructions","OTRASRELIG","instructions","84","1521800","0.0-98.0","",""
"","9297.80000000028","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","1531133","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""2""}"
"","2875","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","1534024","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","2846","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","1536884","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","3732","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","1540631","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","3265","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","1543909","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","5886","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","1549819","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","4589","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","91","1554431","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Católico(a)""}"
"","4059","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","92","1558518","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" La gran mayoría""}"
"","12481","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","93","1571030","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Una vez al año""}"
