"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","OTRASRELIG","fullscreen","90","421389","0.0-97.0-0.0","","","","",""
"","OTRASRELIG","instructions","91","422473","0.0-98.0","[{""page_index"":0,""viewing_time"":1082}]","1082","Instructions","",""
"","OTRASRELIG","html-slider-response-CSCN","92","428150","0.0-99.0","","5666","OTRASRELIG_01","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""1""}"
"","OTRASRELIG","survey-multi-choice-vertical","93","430825","0.0-100.0","","2671","OTRASRELIG_02","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" No""}"
"","OTRASRELIG","survey-multi-choice-vertical","94","433859","0.0-101.0","","3030","OTRASRELIG_03","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" No""}"
"","OTRASRELIG","survey-multi-choice-vertical","95","436371","0.0-102.0","","2508","OTRASRELIG_04","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","OTRASRELIG","survey-multi-choice-vertical","96","438499","0.0-103.0","","2124","OTRASRELIG_05","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","OTRASRELIG","survey-multi-choice-vertical","97","441729","0.0-104.0","","3224","OTRASRELIG_06","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","OTRASRELIG","survey-multi-choice-vertical","98","449784","0.0-106.0","","8048","OTRASRELIG_08","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Católico(a)""}"
"","OTRASRELIG","survey-multi-choice-vertical","99","454591","0.0-108.0","","4799","OTRASRELIG_10","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Hartos""}"
"","OTRASRELIG","survey-multi-choice-vertical","100","470307","0.0-109.0","","15710","OTRASRELIG_11","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Menos de una vez al año""}"
