"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":2395}]","2395","Instructions","OTRASRELIG","instructions","84","606342","0.0-98.0","",""
"","5618.534999981523","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","611967","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""7""}"
"","3199","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","615168","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","2158","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","617327","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","6772","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","624101","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","2983","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","627085","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" Sí""}"
"","3119","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","630207","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" No religioso(a)""}"
"","7232","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","91","637441","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Otro""}"
"","8377","OTRASRELIG_09","OTRASRELIG","survey-text","92","645821","0.0-107.0-0.0","{""Q0"":""¿Cuál es su preferencia y/o afiliación religiosa?""}","{""Q0"":""budista""}"
"","5742","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","93","651565","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Hartos""}"
"","10193","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","94","661763","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Una vez al año""}"
