"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":2313}]","2315","Instructions","OTRASRELIG","instructions","84","532477","0.0-98.0","",""
"","8906.499999997322","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","541417","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""2""}"
"","4218","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","545643","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","2329","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","547983","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","2604","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","550604","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","2601","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","553221","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","3572","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","556818","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","10064","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","91","566903","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" No tengo una preferencia y/o afiliación religiosa""}"
"","14263","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","92","581184","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Solo algunos""}"
"","6509","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","93","587722","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Nunca, o practicamente nunca""}"
