"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":3043}]","3046","Instructions","OTRASRELIG","instructions","84","654638","0.0-98.0","",""
"","14693.999999988591","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","669532","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""6""}"
"","2398","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","671949","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","2575","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","674544","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" No""}"
"","2042","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","676607","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","1763","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","678397","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","4977","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","683408","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), de otra afiliación.""}"
"","8777","OTRASRELIG_07","OTRASRELIG","survey-text","91","692260","0.0-105.0-0.0","{""Q0"":""¿Cuál es su religión?""}","{""Q0"":""Ahora ninguna""}"
"","5777","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","92","698066","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" No tengo una preferencia y/o afiliación religiosa""}"
"","6513","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","93","704616","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Algunos sí, otros no (aproximadamente mitad sí y mitad no)""}"
"","8012","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","94","712668","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Nunca, o practicamente nunca""}"
