"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":2158}]","2158","Instructions","OTRASRELIG","instructions","84","730314","0.0-98.0","",""
"","23450.589999963995","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","753771","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""6""}"
"","2581","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","756354","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","2311","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","758667","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","8134","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","766803","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" Sí""}"
"","8150","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","774955","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","9621","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","784579","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" No religioso(a)""}"
"","23118","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","91","807701","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" No tengo una preferencia y/o afiliación religiosa""}"
"","18990","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","92","826694","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Solo algunos""}"
"","11189","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","93","837885","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Nunca, o practicamente nunca""}"
