"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":3161}]","3161","Instructions","OTRASRELIG","instructions","84","756857","0.0-98.0","",""
"","5623.2750000017695","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","762488","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""10""}"
"","2401","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","764892","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","4536","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","769430","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","3535","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","772967","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","2334","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","775302","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" Sí""}"
"","4455","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","779760","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","6095","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","91","785859","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Católico(a)""}"
"","7048","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","92","792911","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" La gran mayoría""}"
"","19536","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","93","812450","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Más de una vez a la semana""}"
