"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":1451}]","1452","Instructions","OTRASRELIG","instructions","84","436170","0.0-98.0","",""
"","5381.699999910779","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","441565","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""1""}"
"","1762","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","443335","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" No""}"
"","2369","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","445711","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","10736","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","456452","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","3284","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","459740","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","6288","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","466036","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","7288","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","91","473331","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Otro""}"
"","4595","OTRASRELIG_09","OTRASRELIG","survey-text","92","477934","0.0-107.0-0.0","{""Q0"":""¿Cuál es su preferencia y/o afiliación religiosa?""}","{""Q0"":""Budismo""}"
"","12828","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","93","490769","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Algunos sí, otros no (aproximadamente mitad sí y mitad no)""}"
"","9425","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","94","500208","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Nunca, o practicamente nunca""}"
