"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":1141}]","1142","Instructions","OTRASRELIG","instructions","84","882458","0.0-98.0","",""
"","7941.099999996368","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","890409","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""10""}"
"","3593","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","894010","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","12526","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","906546","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","11234","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","917785","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" Sí""}"
"","4643","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","922431","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","4346","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","926787","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","12332","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","91","939130","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" No tengo una preferencia y/o afiliación religiosa""}"
"","31979","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","92","971119","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Algunos sí, otros no (aproximadamente mitad sí y mitad no)""}"
"","26955","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","93","998089","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Menos de una vez al año""}"
