"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":2683}]","2683","Instructions","OTRASRELIG","instructions","84","491221","0.0-98.0","",""
"","6929.940000001807","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","498156","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""10""}"
"","3603","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","501760","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","3827","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","505589","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","3490","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","509080","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" Sí""}"
"","3028","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","512110","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" Sí""}"
"","5372","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","517484","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Protestante (evangélico(a))""}"
"","5043","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","91","522531","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Protestante (evangélico(a))""}"
"","8587","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","92","531120","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Solo algunos""}"
"","8945","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","93","540068","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Una vez a la semana""}"
