"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":5203}]","5204","Instructions","OTRASRELIG","instructions","84","1450269","0.0-98.0","",""
"","18158.400000000373","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","85","1468440","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""6""}"
"","4140","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","86","1472585","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","8848","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","87","1481443","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" No""}"
"","8836","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","88","1490286","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" Sí""}"
"","15031","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","89","1505325","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","11357","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","90","1516695","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" No religioso(a)""}"
"","10646","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","91","1527351","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" No tengo una preferencia y/o afiliación religiosa""}"
"","16038","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","92","1543402","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Solo algunos""}"
"","37914","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","93","1581330","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Nunca, o practicamente nunca""}"
