"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":1993}]","1995","Instructions","OTRASRELIG","instructions","85","953914","0.0-98.0","",""
"","8434.5","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","86","962382","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""3""}"
"","11041","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","87","973435","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" No""}"
"","3964","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","88","977418","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" No""}"
"","2755","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","89","980185","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","3360","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","90","983561","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","11062","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","91","994646","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","4394","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","92","999064","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" No tengo una preferencia y/o afiliación religiosa""}"
"","11803","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","93","1010889","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Algunos sí, otros no (aproximadamente mitad sí y mitad no)""}"
"","14196","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","94","1025113","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Nunca, o practicamente nunca""}"
