"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":971}]","972","Instructions","OTRASRELIG","instructions","85","13958309","0.0-98.0","",""
"","5403.899999917485","OTRASRELIG_01","OTRASRELIG","html-slider-response-CSCN","86","13963725","0.0-99.0","{""Q0"":""¿Qué tan importante considera que es Dios en su vida? ""}","{""Q0"":""10""}"
"","1688","OTRASRELIG_02","OTRASRELIG","survey-multi-choice-vertical","87","13965417","0.0-100.0","{""Q0"":""¿Cree usted en Dios?""}","{""Q0"":"" Sí""}"
"","8118","OTRASRELIG_03","OTRASRELIG","survey-multi-choice-vertical","88","13973538","0.0-101.0","{""Q0"":""¿Cree usted en la vida después de la muerte?""}","{""Q0"":"" Sí""}"
"","1691","OTRASRELIG_04","OTRASRELIG","survey-multi-choice-vertical","89","13975233","0.0-102.0","{""Q0"":""¿Cree usted en el Infierno?""}","{""Q0"":"" No""}"
"","1610","OTRASRELIG_05","OTRASRELIG","survey-multi-choice-vertical","90","13976847","0.0-103.0","{""Q0"":""¿Cree usted en el Cielo?""}","{""Q0"":"" No""}"
"","3748","OTRASRELIG_06","OTRASRELIG","survey-multi-choice-vertical","91","13980603","0.0-104.0","{""Q0"":""Fui criado(a)""}","{""Q0"":"" Religioso(a), Católico(a)""}"
"","3524","OTRASRELIG_08","OTRASRELIG","survey-multi-choice-vertical","92","13984138","0.0-106.0","{""Q0"":""¿Cuál de los siguientes corresponde a su preferencia y/o afiliación religiosa?""}","{""Q0"":"" Otro""}"
"","25067","OTRASRELIG_09","OTRASRELIG","survey-text","93","14009213","0.0-107.0-0.0","{""Q0"":""¿Cuál es su preferencia y/o afiliación religiosa?""}","{""Q0"":""No tiene nombre formal. Pero con lineas cristianas""}"
"","4402","OTRASRELIG_10","OTRASRELIG","survey-multi-choice-vertical","94","14013625","0.0-108.0","{""Q0"":""¿Su familia y/o amigos pertenecen a su mismo grupo religioso?""}","{""Q0"":"" Casi nadie o nadie""}"
"","8323","OTRASRELIG_11","OTRASRELIG","survey-multi-choice-vertical","95","14021955","0.0-109.0","{""Q0"":""Sin considerar matrimonios y funerales, y sin considerar el periodo de pandemia, ¿qué tan seguido asiste a servicios religiosos?""}","{""Q0"":"" Menos de una vez al año""}"
