"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":13818}]","13819","Instructions","instructions","0","13821","0.0-0.0","",""
"","42519","PSS_01","survey-multi-choice-vertical","1","56347","0.0-1.0","{""Q0"":""1. En el último mes, ¿con qué frecuencia ha estado afectado/a por algo que ha ocurrido inesperadamente?""}","{""Q0"":"" De vez en cuando""}"
"","11045","PSS_02","survey-multi-choice-vertical","2","67397","0.0-2.0","{""Q0"":""2. En el último mes, ¿con qué frecuencia se ha sentido incapaz de controlar las cosas importantes en su vida?""}","{""Q0"":"" De vez en cuando""}"
"","8610","PSS_03","survey-multi-choice-vertical","3","76012","0.0-3.0","{""Q0"":""3. En el último mes, ¿con qué frecuencia se ha sentido nervioso/a o estresado/a?""}","{""Q0"":"" A menudo""}"
"","11886","PSS_04","survey-multi-choice-vertical","4","87903","0.0-4.0","{""Q0"":""4. En el último mes, ¿con qué frecuencia ha manejado con éxito los pequeños problemas irritantes de la vida?""}","{""Q0"":"" A menudo""}"
"","75907","PSS_05","survey-multi-choice-vertical","5","163814","0.0-5.0","{""Q0"":""5. En el último mes, ¿con qué frecuencia ha sentido que ha afrontado efectivamente los cambios importantes que han estado ocurriendo en su vida?""}","{""Q0"":"" De vez en cuando""}"
"","14976","PSS_06","survey-multi-choice-vertical","6","178795","0.0-6.0","{""Q0"":""6. En el último mes, ¿con qué frecuencia ha estado seguro/a sobre su capacidad para manejar sus problemas personales?""}","{""Q0"":"" A menudo""}"
"","7975","PSS_07","survey-multi-choice-vertical","7","186776","0.0-7.0","{""Q0"":""7. En el último mes, ¿con qué frecuencia ha sentido que las cosas le van bien?""}","{""Q0"":"" A menudo""}"
"","35682","PSS_08","survey-multi-choice-vertical","8","222463","0.0-8.0","{""Q0"":""8. En el último mes, ¿con qué frecuencia ha sentido que no podía afrontar todas las cosas que tenía que hacer?""}","{""Q0"":"" A menudo""}"
"","7111","PSS_09","survey-multi-choice-vertical","9","229579","0.0-9.0","{""Q0"":""9. En el último mes, ¿con qué frecuencia ha podido controlar las dificultades de su vida?""}","{""Q0"":"" A menudo""}"
"","7070","PSS_10","survey-multi-choice-vertical","10","236654","0.0-10.0","{""Q0"":""10. En el último mes, ¿con qué frecuencia se ha sentido al control de todo?""}","{""Q0"":"" De vez en cuando""}"
"","20301","PSS_11","survey-multi-choice-vertical","11","256959","0.0-11.0","{""Q0"":""11. En el último mes, ¿con qué frecuencia ha estado enfadado/a porque las cosas que le han ocurrido estaban fuera de su control?""}","{""Q0"":"" De vez en cuando""}"
"","17690","PSS_12","survey-multi-choice-vertical","12","274654","0.0-12.0","{""Q0"":""12. En el último mes, ¿con qué frecuencia ha pensado sobre las cosas que le quedan por lograr?""}","{""Q0"":"" A menudo""}"
"","11508","PSS_13","survey-multi-choice-vertical","13","286166","0.0-13.0","{""Q0"":""13. En el último mes, ¿con qué frecuencia ha podido controlar la forma de pasar el tiempo?""}","{""Q0"":"" A menudo""}"
"","33149","PSS_14","survey-multi-choice-vertical","14","319320","0.0-14.0","{""Q0"":""14. En el último mes, ¿con qué frecuencia ha sentido que las dificultades se acumulan tanto que no puede superarlas?""}","{""Q0"":"" De vez en cuando""}"
