"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":9311}]","9312","Instructions","PSS","instructions","54","798659","0.0-65.0","",""
"","8353","PSS_01","PSS","survey-multi-choice-vertical","55","807023","0.0-66.0","{""Q0"":""1. En el último mes, ¿con qué frecuencia ha estado afectado/a por algo que ha ocurrido inesperadamente?""}","{""Q0"":"" A menudo""}"
"","5538","PSS_02","PSS","survey-multi-choice-vertical","56","812583","0.0-67.0","{""Q0"":""2. En el último mes, ¿con qué frecuencia se ha sentido incapaz de controlar las cosas importantes en su vida?""}","{""Q0"":"" A menudo""}"
"","4961","PSS_03","PSS","survey-multi-choice-vertical","57","817560","0.0-68.0","{""Q0"":""3. En el último mes, ¿con qué frecuencia se ha sentido nervioso/a o estresado/a?""}","{""Q0"":"" Muy a menudo""}"
"","8289","PSS_04","PSS","survey-multi-choice-vertical","58","825859","0.0-69.0","{""Q0"":""4. En el último mes, ¿con qué frecuencia ha manejado con éxito los pequeños problemas irritantes de la vida?""}","{""Q0"":"" De vez en cuando""}"
"","9046","PSS_05","PSS","survey-multi-choice-vertical","59","834914","0.0-70.0","{""Q0"":""5. En el último mes, ¿con qué frecuencia ha sentido que ha afrontado efectivamente los cambios importantes que han estado ocurriendo en su vida?""}","{""Q0"":"" Casi nunca""}"
"","7926","PSS_06","PSS","survey-multi-choice-vertical","60","842849","0.0-71.0","{""Q0"":""6. En el último mes, ¿con qué frecuencia ha estado seguro/a sobre su capacidad para manejar sus problemas personales?""}","{""Q0"":"" De vez en cuando""}"
"","7692","PSS_07","PSS","survey-multi-choice-vertical","61","850550","0.0-72.0","{""Q0"":""7. En el último mes, ¿con qué frecuencia ha sentido que las cosas le van bien?""}","{""Q0"":"" Casi nunca""}"
"","7697","PSS_08","PSS","survey-multi-choice-vertical","62","858257","0.0-73.0","{""Q0"":""8. En el último mes, ¿con qué frecuencia ha sentido que no podía afrontar todas las cosas que tenía que hacer?""}","{""Q0"":"" A menudo""}"
"","5766","PSS_09","PSS","survey-multi-choice-vertical","63","864031","0.0-74.0","{""Q0"":""9. En el último mes, ¿con qué frecuencia ha podido controlar las dificultades de su vida?""}","{""Q0"":"" Casi nunca""}"
"","3820","PSS_10","PSS","survey-multi-choice-vertical","64","867861","0.0-75.0","{""Q0"":""10. En el último mes, ¿con qué frecuencia se ha sentido al control de todo?""}","{""Q0"":"" Casi nunca""}"
"","5489","PSS_11","PSS","survey-multi-choice-vertical","65","873359","0.0-76.0","{""Q0"":""11. En el último mes, ¿con qué frecuencia ha estado enfadado/a porque las cosas que le han ocurrido estaban fuera de su control?""}","{""Q0"":"" A menudo""}"
"","6144","PSS_12","PSS","survey-multi-choice-vertical","66","879517","0.0-77.0","{""Q0"":""12. En el último mes, ¿con qué frecuencia ha pensado sobre las cosas que le quedan por lograr?""}","{""Q0"":"" A menudo""}"
"","8369","PSS_13","PSS","survey-multi-choice-vertical","67","887895","0.0-78.0","{""Q0"":""13. En el último mes, ¿con qué frecuencia ha podido controlar la forma de pasar el tiempo?""}","{""Q0"":"" Casi nunca""}"
"","38444","PSS_14","PSS","survey-multi-choice-vertical","68","926348","0.0-79.0","{""Q0"":""14. En el último mes, ¿con qué frecuencia ha sentido que las dificultades se acumulan tanto que no puede superarlas?""}","{""Q0"":"" A menudo""}"
