"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":5204}]","5207","Instructions","PSS","instructions","69","370007","0.0-81.0","",""
"","5353","PSS_01","PSS","survey-multi-choice-vertical","70","375395","0.0-82.0","{""Q0"":""1. En el último mes, ¿con qué frecuencia ha estado afectado/a por algo que ha ocurrido inesperadamente?""}","{""Q0"":"" Muy a menudo""}"
"","4863","PSS_02","PSS","survey-multi-choice-vertical","71","380298","0.0-83.0","{""Q0"":""2. En el último mes, ¿con qué frecuencia se ha sentido incapaz de controlar las cosas importantes en su vida?""}","{""Q0"":"" A menudo""}"
"","3188","PSS_03","PSS","survey-multi-choice-vertical","72","383515","0.0-84.0","{""Q0"":""3. En el último mes, ¿con qué frecuencia se ha sentido nervioso/a o estresado/a?""}","{""Q0"":"" Muy a menudo""}"
"","8646","PSS_04","PSS","survey-multi-choice-vertical","73","392192","0.0-85.0","{""Q0"":""4. En el último mes, ¿con qué frecuencia ha manejado con éxito los pequeños problemas irritantes de la vida?""}","{""Q0"":"" A menudo""}"
"","9356","PSS_05","PSS","survey-multi-choice-vertical","74","401589","0.0-86.0","{""Q0"":""5. En el último mes, ¿con qué frecuencia ha sentido que ha afrontado efectivamente los cambios importantes que han estado ocurriendo en su vida?""}","{""Q0"":"" Muy a menudo""}"
"","8040","PSS_06","PSS","survey-multi-choice-vertical","75","409663","0.0-87.0","{""Q0"":""6. En el último mes, ¿con qué frecuencia ha estado seguro/a sobre su capacidad para manejar sus problemas personales?""}","{""Q0"":"" De vez en cuando""}"
"","3467","PSS_07","PSS","survey-multi-choice-vertical","76","413163","0.0-88.0","{""Q0"":""7. En el último mes, ¿con qué frecuencia ha sentido que las cosas le van bien?""}","{""Q0"":"" De vez en cuando""}"
"","6930","PSS_08","PSS","survey-multi-choice-vertical","77","420134","0.0-89.0","{""Q0"":""8. En el último mes, ¿con qué frecuencia ha sentido que no podía afrontar todas las cosas que tenía que hacer?""}","{""Q0"":"" Muy a menudo""}"
"","4954","PSS_09","PSS","survey-multi-choice-vertical","78","425127","0.0-90.0","{""Q0"":""9. En el último mes, ¿con qué frecuencia ha podido controlar las dificultades de su vida?""}","{""Q0"":"" De vez en cuando""}"
"","6879","PSS_10","PSS","survey-multi-choice-vertical","79","432044","0.0-91.0","{""Q0"":""10. En el último mes, ¿con qué frecuencia se ha sentido al control de todo?""}","{""Q0"":"" Casi nunca""}"
"","7642","PSS_11","PSS","survey-multi-choice-vertical","80","439721","0.0-92.0","{""Q0"":""11. En el último mes, ¿con qué frecuencia ha estado enfadado/a porque las cosas que le han ocurrido estaban fuera de su control?""}","{""Q0"":"" Casi nunca""}"
"","4686","PSS_12","PSS","survey-multi-choice-vertical","81","444437","0.0-93.0","{""Q0"":""12. En el último mes, ¿con qué frecuencia ha pensado sobre las cosas que le quedan por lograr?""}","{""Q0"":"" Muy a menudo""}"
"","3753","PSS_13","PSS","survey-multi-choice-vertical","82","448226","0.0-94.0","{""Q0"":""13. En el último mes, ¿con qué frecuencia ha podido controlar la forma de pasar el tiempo?""}","{""Q0"":"" Casi nunca""}"
"","8086","PSS_14","PSS","survey-multi-choice-vertical","83","456352","0.0-95.0","{""Q0"":""14. En el último mes, ¿con qué frecuencia ha sentido que las dificultades se acumulan tanto que no puede superarlas?""}","{""Q0"":"" A menudo""}"
