"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":2174}]","2175","Instructions","SASS","instructions","44","437639","0.0-55.0","",""
"","3225","SASS_01","SASS","survey-multi-choice-vertical","45","440874","0.0-56.0","{""Q0"":""1. ¿Tiene usted algún trabajo?""}","{""Q0"":"" Si""}"
"","4341","SASS_02","SASS","survey-multi-choice-vertical","46","445227","0.0-57.0-0.0","{""Q0"":""2. ¿Qué tan interesado/a está en su trabajo?""}","{""Q0"":"" Mucho""}"
"","4939","SASS_04","SASS","survey-multi-choice-vertical","47","450178","0.0-59.0","{""Q0"":""3. Realiza estas actividades, con: ""}","{""Q0"":"" Mucho gozo""}"
"","5356","SASS_05","SASS","survey-multi-choice-vertical","48","455544","0.0-60.0","{""Q0"":""4. ¿Está interesado/a en pasatiempos/ocio?""}","{""Q0"":"" Poco""}"
"","8836","SASS_06","SASS","survey-multi-choice-vertical","49","464391","0.0-61.0","{""Q0"":""5. La calidad de tu tiempo libre es:""}","{""Q0"":"" Insatisfactoria""}"
"","8995","SASS_07","SASS","survey-multi-choice-vertical","50","473397","0.0-62.0","{""Q0"":""6. ¿Con qué frecuencia usted busca contacto con los miembros de su familia? (Cónyuges, Hijos, Padres, etc.)""}","{""Q0"":"" Frecuentemente""}"
"","4337","SASS_08","SASS","survey-multi-choice-vertical","51","477746","0.0-63.0","{""Q0"":""7. El estado de relaciones de su familia es:""}","{""Q0"":"" Bueno""}"
"","5193","SASS_09","SASS","survey-multi-choice-vertical","52","482955","0.0-64.0","{""Q0"":""8- Fuera de su familia, ¿tiene relaciones con:""}","{""Q0"":"" Pocas personas?""}"
"","7544","SASS_10","SASS","survey-multi-choice-vertical","53","490510","0.0-65.0","{""Q0"":""9. ¿Intenta formar relaciones con otras personas:""}","{""Q0"":"" Pasivamente?""}"
"","4835","SASS_11","SASS","survey-multi-choice-vertical","54","495358","0.0-66.0","{""Q0"":""10. ¿En general, cómo valora sus relaciones con otras personas?""}","{""Q0"":"" Buena""}"
"","6230","SASS_12","SASS","survey-multi-choice-vertical","55","501601","0.0-67.0","{""Q0"":""11. ¿Qué valor le otorga a sus relaciones con otras personas?""}","{""Q0"":"" Algún valor""}"
"","9716","SASS_13","SASS","survey-multi-choice-vertical","56","511329","0.0-68.0","{""Q0"":""12. ¿Qué tan a menudo las personas en su círculo social buscan tomar contacto con usted?""}","{""Q0"":"" Raramente""}"
"","7897","SASS_14","SASS","survey-multi-choice-vertical","57","519236","0.0-69.0","{""Q0"":""13. ¿Se preocupa de las normas sociales, las buenas maneras, la cortesía, etc.?""}","{""Q0"":"" Siempre""}"
"","9239","SASS_15","SASS","survey-multi-choice-vertical","58","528488","0.0-70.0","{""Q0"":""14. ¿Hasta qué punto está usted involucrado/a en la vida comunitaria (Club, etc.)""}","{""Q0"":"" Para nada""}"
"","8745","SASS_16","SASS","survey-multi-choice-vertical","59","537247","0.0-71.0","{""Q0"":""15. ¿Le gusta buscar información acerca de cosas, situaciones, y personas para mejorar su comprensión de ellos?""}","{""Q0"":"" Moderadamente""}"
"","10678","SASS_17","SASS","survey-multi-choice-vertical","60","547938","0.0-72.0","{""Q0"":""16. ¿Está interesado/a en información científica, técnica o cultural?""}","{""Q0"":"" Moderadamente""}"
"","5448","SASS_18","SASS","survey-multi-choice-vertical","61","553399","0.0-73.0","{""Q0"":""17. ¿Con qué frecuencia encuentra dificultad para expresar su opinión a las personas?""}","{""Q0"":"" Siempre""}"
"","8736","SASS_19","SASS","survey-multi-choice-vertical","62","562146","0.0-74.0","{""Q0"":""18. ¿Con qué frecuencia se siente rechazado/a o excluido/a de su círculo?""}","{""Q0"":"" A veces""}"
"","5677","SASS_20","SASS","survey-multi-choice-vertical","63","567835","0.0-75.0","{""Q0"":""19. ¿Qué tan importante considera su apariencia física?""}","{""Q0"":"" Mucho""}"
"","9829","SASS_21","SASS","survey-multi-choice-vertical","64","577676","0.0-76.0","{""Q0"":""20. ¿En qué grado tiene dificultades para manejar sus recursos e ingresos económicos?""}","{""Q0"":"" A veces""}"
"","6898","SASS_22","SASS","survey-multi-choice-vertical","65","584584","0.0-77.0","{""Q0"":""21. ¿Se siente capaz de organizar su entorno de acuerdo a sus deseos y necesidades?""}","{""Q0"":"" Muchísimo""}"
