"success","procedure","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","SASS","fullscreen","49","217209","0.0-55.0-0.0","","","","",""
"","SASS","instructions","50","219142","0.0-56.0","[{""page_index"":0,""viewing_time"":1931}]","1932","Instructions","",""
"","SASS","survey-multi-choice-vertical","51","222445","0.0-57.0","","3296","SASS_01","{""Q0"":""1. ¿Tiene usted algún trabajo?""}","{""Q0"":"" No""}"
"","SASS","survey-multi-choice-vertical","52","229390","0.0-59.0-0.0","","6940","SASS_03","{""Q0"":""2. ¿Qué tan interesado/a está en actividades relacionadas a su hogar?""}","{""Q0"":"" Mucho""}"
"","SASS","survey-multi-choice-vertical","53","235631","0.0-60.0","","6234","SASS_04","{""Q0"":""3. Realiza estas actividades, con: ""}","{""Q0"":"" Algo de gozo""}"
"","SASS","survey-multi-choice-vertical","54","239250","0.0-61.0","","3613","SASS_05","{""Q0"":""4. ¿Está interesado/a en pasatiempos/ocio?""}","{""Q0"":"" Mucho""}"
"","SASS","survey-multi-choice-vertical","55","242171","0.0-62.0","","2913","SASS_06","{""Q0"":""5. La calidad de tu tiempo libre es:""}","{""Q0"":"" Muy buena""}"
"","SASS","survey-multi-choice-vertical","56","248136","0.0-63.0","","5959","SASS_07","{""Q0"":""6. ¿Con qué frecuencia usted busca contacto con los miembros de su familia? (Cónyuges, Hijos, Padres, etc.)""}","{""Q0"":"" Muy frecuente""}"
"","SASS","survey-multi-choice-vertical","57","251959","0.0-64.0","","3816","SASS_08","{""Q0"":""7. El estado de relaciones de su familia es:""}","{""Q0"":"" Bueno""}"
"","SASS","survey-multi-choice-vertical","58","256463","0.0-65.0","","4495","SASS_09","{""Q0"":""8- Fuera de su familia, ¿tiene relaciones con:""}","{""Q0"":"" Algunas personas?""}"
"","SASS","survey-multi-choice-vertical","59","260840","0.0-66.0","","4372","SASS_10","{""Q0"":""9. ¿Intenta formar relaciones con otras personas:""}","{""Q0"":"" Muy activamente?""}"
"","SASS","survey-multi-choice-vertical","60","264385","0.0-67.0","","3538","SASS_11","{""Q0"":""10. ¿En general, cómo valora sus relaciones con otras personas?""}","{""Q0"":"" Buena""}"
"","SASS","survey-multi-choice-vertical","61","269114","0.0-68.0","","4723","SASS_12","{""Q0"":""11. ¿Qué valor le otorga a sus relaciones con otras personas?""}","{""Q0"":"" Gran valor""}"
"","SASS","survey-multi-choice-vertical","62","277245","0.0-69.0","","8126","SASS_13","{""Q0"":""12. ¿Qué tan a menudo las personas en su círculo social buscan tomar contacto con usted?""}","{""Q0"":"" A menudo""}"
"","SASS","survey-multi-choice-vertical","63","282750","0.0-70.0","","5500","SASS_14","{""Q0"":""13. ¿Se preocupa de las normas sociales, las buenas maneras, la cortesía, etc.?""}","{""Q0"":"" La mayor parte del tiempo""}"
"","SASS","survey-multi-choice-vertical","64","288605","0.0-71.0","","5846","SASS_15","{""Q0"":""14. ¿Hasta qué punto está usted involucrado/a en la vida comunitaria (Club, etc.)""}","{""Q0"":"" Moderadamente""}"
"","SASS","survey-multi-choice-vertical","65","294775","0.0-72.0","","6163","SASS_16","{""Q0"":""15. ¿Le gusta buscar información acerca de cosas, situaciones, y personas para mejorar su comprensión de ellos?""}","{""Q0"":"" Moderadamente""}"
"","SASS","survey-multi-choice-vertical","66","298958","0.0-73.0","","4177","SASS_17","{""Q0"":""16. ¿Está interesado/a en información científica, técnica o cultural?""}","{""Q0"":"" Mucho""}"
"","SASS","survey-multi-choice-vertical","67","304351","0.0-74.0","","5386","SASS_18","{""Q0"":""17. ¿Con qué frecuencia encuentra dificultad para expresar su opinión a las personas?""}","{""Q0"":"" Nunca""}"
"","SASS","survey-multi-choice-vertical","68","308374","0.0-75.0","","4016","SASS_19","{""Q0"":""18. ¿Con qué frecuencia se siente rechazado/a o excluido/a de su círculo?""}","{""Q0"":"" A veces""}"
"","SASS","survey-multi-choice-vertical","69","312467","0.0-76.0","","4085","SASS_20","{""Q0"":""19. ¿Qué tan importante considera su apariencia física?""}","{""Q0"":"" Moderadamente""}"
"","SASS","survey-multi-choice-vertical","70","318400","0.0-77.0","","5927","SASS_21","{""Q0"":""20. ¿En qué grado tiene dificultades para manejar sus recursos e ingresos económicos?""}","{""Q0"":"" A veces""}"
"","SASS","survey-multi-choice-vertical","71","323766","0.0-78.0","","5360","SASS_22","{""Q0"":""21. ¿Se siente capaz de organizar su entorno de acuerdo a sus deseos y necesidades?""}","{""Q0"":"" Muchísimo""}"
