"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":3129}]","3130","Instructions","SASS","instructions","45","331789","0.0-56.0","",""
"","2938","SASS_01","SASS","survey-multi-choice-vertical","46","334734","0.0-57.0","{""Q0"":""1. ¿Tiene usted algún trabajo?""}","{""Q0"":"" Si""}"
"","8082","SASS_02","SASS","survey-multi-choice-vertical","47","342822","0.0-58.0-0.0","{""Q0"":""2. ¿Qué tan interesado/a está en su trabajo?""}","{""Q0"":"" Medianamente""}"
"","10942","SASS_04","SASS","survey-multi-choice-vertical","48","353770","0.0-60.0","{""Q0"":""3. Realiza estas actividades, con: ""}","{""Q0"":"" Mucho gozo""}"
"","11620","SASS_05","SASS","survey-multi-choice-vertical","49","365398","0.0-61.0","{""Q0"":""4. ¿Está interesado/a en pasatiempos/ocio?""}","{""Q0"":"" Medianamente""}"
"","6525","SASS_06","SASS","survey-multi-choice-vertical","50","371935","0.0-62.0","{""Q0"":""5. La calidad de tu tiempo libre es:""}","{""Q0"":"" Justa""}"
"","9606","SASS_07","SASS","survey-multi-choice-vertical","51","381548","0.0-63.0","{""Q0"":""6. ¿Con qué frecuencia usted busca contacto con los miembros de su familia? (Cónyuges, Hijos, Padres, etc.)""}","{""Q0"":"" Frecuentemente""}"
"","13435","SASS_08","SASS","survey-multi-choice-vertical","52","394991","0.0-64.0","{""Q0"":""7. El estado de relaciones de su familia es:""}","{""Q0"":"" Muy bueno""}"
"","5553","SASS_09","SASS","survey-multi-choice-vertical","53","400552","0.0-65.0","{""Q0"":""8- Fuera de su familia, ¿tiene relaciones con:""}","{""Q0"":"" Algunas personas?""}"
"","5204","SASS_10","SASS","survey-multi-choice-vertical","54","405769","0.0-66.0","{""Q0"":""9. ¿Intenta formar relaciones con otras personas:""}","{""Q0"":"" Moderadamente?""}"
"","3661","SASS_11","SASS","survey-multi-choice-vertical","55","409440","0.0-67.0","{""Q0"":""10. ¿En general, cómo valora sus relaciones con otras personas?""}","{""Q0"":"" Buena""}"
"","8494","SASS_12","SASS","survey-multi-choice-vertical","56","417943","0.0-68.0","{""Q0"":""11. ¿Qué valor le otorga a sus relaciones con otras personas?""}","{""Q0"":"" Gran valor""}"
"","5640","SASS_13","SASS","survey-multi-choice-vertical","57","423590","0.0-69.0","{""Q0"":""12. ¿Qué tan a menudo las personas en su círculo social buscan tomar contacto con usted?""}","{""Q0"":"" A menudo""}"
"","5735","SASS_14","SASS","survey-multi-choice-vertical","58","429335","0.0-70.0","{""Q0"":""13. ¿Se preocupa de las normas sociales, las buenas maneras, la cortesía, etc.?""}","{""Q0"":"" Siempre""}"
"","16481","SASS_15","SASS","survey-multi-choice-vertical","59","445825","0.0-71.0","{""Q0"":""14. ¿Hasta qué punto está usted involucrado/a en la vida comunitaria (Club, etc.)""}","{""Q0"":"" Levemente""}"
"","6523","SASS_16","SASS","survey-multi-choice-vertical","60","452354","0.0-72.0","{""Q0"":""15. ¿Le gusta buscar información acerca de cosas, situaciones, y personas para mejorar su comprensión de ellos?""}","{""Q0"":"" No mucho""}"
"","5429","SASS_17","SASS","survey-multi-choice-vertical","61","457790","0.0-73.0","{""Q0"":""16. ¿Está interesado/a en información científica, técnica o cultural?""}","{""Q0"":"" Mucho""}"
"","6251","SASS_18","SASS","survey-multi-choice-vertical","62","464050","0.0-74.0","{""Q0"":""17. ¿Con qué frecuencia encuentra dificultad para expresar su opinión a las personas?""}","{""Q0"":"" A veces""}"
"","4313","SASS_19","SASS","survey-multi-choice-vertical","63","468372","0.0-75.0","{""Q0"":""18. ¿Con qué frecuencia se siente rechazado/a o excluido/a de su círculo?""}","{""Q0"":"" Nunca""}"
"","4594","SASS_20","SASS","survey-multi-choice-vertical","64","472973","0.0-76.0","{""Q0"":""19. ¿Qué tan importante considera su apariencia física?""}","{""Q0"":"" Moderadamente""}"
"","18586","SASS_21","SASS","survey-multi-choice-vertical","65","491569","0.0-77.0","{""Q0"":""20. ¿En qué grado tiene dificultades para manejar sus recursos e ingresos económicos?""}","{""Q0"":"" Nunca""}"
"","19186","SASS_22","SASS","survey-multi-choice-vertical","66","510763","0.0-78.0","{""Q0"":""21. ¿Se siente capaz de organizar su entorno de acuerdo a sus deseos y necesidades?""}","{""Q0"":"" Moderadamente""}"
