"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":2875}]","2876","Instructions","SASS","instructions","45","500871","0.0-56.0","",""
"","3692","SASS_01","SASS","survey-multi-choice-vertical","46","504564","0.0-57.0","{""Q0"":""1. ¿Tiene usted algún trabajo?""}","{""Q0"":"" Si""}"
"","3085","SASS_02","SASS","survey-multi-choice-vertical","47","507652","0.0-58.0-0.0","{""Q0"":""2. ¿Qué tan interesado/a está en su trabajo?""}","{""Q0"":"" Mucho""}"
"","6097","SASS_04","SASS","survey-multi-choice-vertical","48","513752","0.0-60.0","{""Q0"":""3. Realiza estas actividades, con: ""}","{""Q0"":"" Mucho gozo""}"
"","5109","SASS_05","SASS","survey-multi-choice-vertical","49","518866","0.0-61.0","{""Q0"":""4. ¿Está interesado/a en pasatiempos/ocio?""}","{""Q0"":"" Mucho""}"
"","23798","SASS_06","SASS","survey-multi-choice-vertical","50","542667","0.0-62.0","{""Q0"":""5. La calidad de tu tiempo libre es:""}","{""Q0"":"" Justa""}"
"","6882","SASS_07","SASS","survey-multi-choice-vertical","51","549553","0.0-63.0","{""Q0"":""6. ¿Con qué frecuencia usted busca contacto con los miembros de su familia? (Cónyuges, Hijos, Padres, etc.)""}","{""Q0"":"" Frecuentemente""}"
"","2652","SASS_08","SASS","survey-multi-choice-vertical","52","552207","0.0-64.0","{""Q0"":""7. El estado de relaciones de su familia es:""}","{""Q0"":"" Muy bueno""}"
"","9332","SASS_09","SASS","survey-multi-choice-vertical","53","561542","0.0-65.0","{""Q0"":""8- Fuera de su familia, ¿tiene relaciones con:""}","{""Q0"":"" Algunas personas?""}"
"","4041","SASS_10","SASS","survey-multi-choice-vertical","54","565586","0.0-66.0","{""Q0"":""9. ¿Intenta formar relaciones con otras personas:""}","{""Q0"":"" Moderadamente?""}"
"","3771","SASS_11","SASS","survey-multi-choice-vertical","55","569360","0.0-67.0","{""Q0"":""10. ¿En general, cómo valora sus relaciones con otras personas?""}","{""Q0"":"" Buena""}"
"","5795","SASS_12","SASS","survey-multi-choice-vertical","56","575157","0.0-68.0","{""Q0"":""11. ¿Qué valor le otorga a sus relaciones con otras personas?""}","{""Q0"":"" Gran valor""}"
"","6540","SASS_13","SASS","survey-multi-choice-vertical","57","581700","0.0-69.0","{""Q0"":""12. ¿Qué tan a menudo las personas en su círculo social buscan tomar contacto con usted?""}","{""Q0"":"" Muy a menudo""}"
"","4489","SASS_14","SASS","survey-multi-choice-vertical","58","586193","0.0-70.0","{""Q0"":""13. ¿Se preocupa de las normas sociales, las buenas maneras, la cortesía, etc.?""}","{""Q0"":"" La mayor parte del tiempo""}"
"","8600","SASS_15","SASS","survey-multi-choice-vertical","59","594795","0.0-71.0","{""Q0"":""14. ¿Hasta qué punto está usted involucrado/a en la vida comunitaria (Club, etc.)""}","{""Q0"":"" Moderadamente""}"
"","9662","SASS_16","SASS","survey-multi-choice-vertical","60","604459","0.0-72.0","{""Q0"":""15. ¿Le gusta buscar información acerca de cosas, situaciones, y personas para mejorar su comprensión de ellos?""}","{""Q0"":"" Mucho""}"
"","3549","SASS_17","SASS","survey-multi-choice-vertical","61","608011","0.0-73.0","{""Q0"":""16. ¿Está interesado/a en información científica, técnica o cultural?""}","{""Q0"":"" Mucho""}"
"","8100","SASS_18","SASS","survey-multi-choice-vertical","62","616114","0.0-74.0","{""Q0"":""17. ¿Con qué frecuencia encuentra dificultad para expresar su opinión a las personas?""}","{""Q0"":"" A veces""}"
"","5788","SASS_19","SASS","survey-multi-choice-vertical","63","621905","0.0-75.0","{""Q0"":""18. ¿Con qué frecuencia se siente rechazado/a o excluido/a de su círculo?""}","{""Q0"":"" Nunca""}"
"","3720","SASS_20","SASS","survey-multi-choice-vertical","64","625629","0.0-76.0","{""Q0"":""19. ¿Qué tan importante considera su apariencia física?""}","{""Q0"":"" No mucho""}"
"","8329","SASS_21","SASS","survey-multi-choice-vertical","65","633960","0.0-77.0","{""Q0"":""20. ¿En qué grado tiene dificultades para manejar sus recursos e ingresos económicos?""}","{""Q0"":"" A menudo""}"
"","7536","SASS_22","SASS","survey-multi-choice-vertical","66","641499","0.0-78.0","{""Q0"":""21. ¿Se siente capaz de organizar su entorno de acuerdo a sus deseos y necesidades?""}","{""Q0"":"" Moderadamente""}"
