"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":3295}]","3296","Instructions","SASS","instructions","45","244383","0.0-56.0","",""
"","2541","SASS_01","SASS","survey-multi-choice-vertical","46","246935","0.0-57.0","{""Q0"":""1. ¿Tiene usted algún trabajo?""}","{""Q0"":"" Si""}"
"","2991","SASS_02","SASS","survey-multi-choice-vertical","47","249942","0.0-58.0-0.0","{""Q0"":""2. ¿Qué tan interesado/a está en su trabajo?""}","{""Q0"":"" Mucho""}"
"","3085","SASS_04","SASS","survey-multi-choice-vertical","48","253042","0.0-60.0","{""Q0"":""3. Realiza estas actividades, con: ""}","{""Q0"":"" Mucho gozo""}"
"","3028","SASS_05","SASS","survey-multi-choice-vertical","49","256083","0.0-61.0","{""Q0"":""4. ¿Está interesado/a en pasatiempos/ocio?""}","{""Q0"":"" Mucho""}"
"","2981","SASS_06","SASS","survey-multi-choice-vertical","50","259078","0.0-62.0","{""Q0"":""5. La calidad de tu tiempo libre es:""}","{""Q0"":"" Buena""}"
"","4176","SASS_07","SASS","survey-multi-choice-vertical","51","263268","0.0-63.0","{""Q0"":""6. ¿Con qué frecuencia usted busca contacto con los miembros de su familia? (Cónyuges, Hijos, Padres, etc.)""}","{""Q0"":"" Muy frecuente""}"
"","2554","SASS_08","SASS","survey-multi-choice-vertical","52","265835","0.0-64.0","{""Q0"":""7. El estado de relaciones de su familia es:""}","{""Q0"":"" Muy bueno""}"
"","3660","SASS_09","SASS","survey-multi-choice-vertical","53","269508","0.0-65.0","{""Q0"":""8- Fuera de su familia, ¿tiene relaciones con:""}","{""Q0"":"" Algunas personas?""}"
"","3603","SASS_10","SASS","survey-multi-choice-vertical","54","273131","0.0-66.0","{""Q0"":""9. ¿Intenta formar relaciones con otras personas:""}","{""Q0"":"" Activamente?""}"
"","4685","SASS_11","SASS","survey-multi-choice-vertical","55","277829","0.0-67.0","{""Q0"":""10. ¿En general, cómo valora sus relaciones con otras personas?""}","{""Q0"":"" Buena""}"
"","3668","SASS_12","SASS","survey-multi-choice-vertical","56","281513","0.0-68.0","{""Q0"":""11. ¿Qué valor le otorga a sus relaciones con otras personas?""}","{""Q0"":"" Gran valor""}"
"","4182","SASS_13","SASS","survey-multi-choice-vertical","57","285709","0.0-69.0","{""Q0"":""12. ¿Qué tan a menudo las personas en su círculo social buscan tomar contacto con usted?""}","{""Q0"":"" A menudo""}"
"","3493","SASS_14","SASS","survey-multi-choice-vertical","58","289217","0.0-70.0","{""Q0"":""13. ¿Se preocupa de las normas sociales, las buenas maneras, la cortesía, etc.?""}","{""Q0"":"" Siempre""}"
"","4455","SASS_15","SASS","survey-multi-choice-vertical","59","293687","0.0-71.0","{""Q0"":""14. ¿Hasta qué punto está usted involucrado/a en la vida comunitaria (Club, etc.)""}","{""Q0"":"" Levemente""}"
"","5886","SASS_16","SASS","survey-multi-choice-vertical","60","299587","0.0-72.0","{""Q0"":""15. ¿Le gusta buscar información acerca de cosas, situaciones, y personas para mejorar su comprensión de ellos?""}","{""Q0"":"" No mucho""}"
"","3028","SASS_17","SASS","survey-multi-choice-vertical","61","302631","0.0-73.0","{""Q0"":""16. ¿Está interesado/a en información científica, técnica o cultural?""}","{""Q0"":"" Mucho""}"
"","4053","SASS_18","SASS","survey-multi-choice-vertical","62","306698","0.0-74.0","{""Q0"":""17. ¿Con qué frecuencia encuentra dificultad para expresar su opinión a las personas?""}","{""Q0"":"" A veces""}"
"","4795","SASS_19","SASS","survey-multi-choice-vertical","63","311507","0.0-75.0","{""Q0"":""18. ¿Con qué frecuencia se siente rechazado/a o excluido/a de su círculo?""}","{""Q0"":"" Nunca""}"
"","3940","SASS_20","SASS","survey-multi-choice-vertical","64","315461","0.0-76.0","{""Q0"":""19. ¿Qué tan importante considera su apariencia física?""}","{""Q0"":"" Mucho""}"
"","4513","SASS_21","SASS","survey-multi-choice-vertical","65","319986","0.0-77.0","{""Q0"":""20. ¿En qué grado tiene dificultades para manejar sus recursos e ingresos económicos?""}","{""Q0"":"" A menudo""}"
"","8435","SASS_22","SASS","survey-multi-choice-vertical","66","328441","0.0-78.0","{""Q0"":""21. ¿Se siente capaz de organizar su entorno de acuerdo a sus deseos y necesidades?""}","{""Q0"":"" Muchísimo""}"
