"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":2665}]","2666","Instructions","SCSORF","instructions","22","302651","0.0-30.0","",""
"","16917","SCSORF_01","SCSORF","survey-multi-choice-vertical","23","319584","0.0-31.0","{""Q0"":""1. Mi fe religiosa es extremadamente importante para mí.""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","11656","SCSORF_02","SCSORF","survey-multi-choice-vertical","24","331257","0.0-32.0","{""Q0"":""2. Rezo a diario.""}","{""Q0"":"" En desacuerdo""}"
"","13560","SCSORF_03","SCSORF","survey-multi-choice-vertical","25","344834","0.0-33.0","{""Q0"":""3. Considero mi fe una fuente de inspiración""}","{""Q0"":"" Fuertemente en desacuerdo""}"
"","60386","SCSORF_04","SCSORF","survey-multi-choice-vertical","26","405233","0.0-34.0","{""Q0"":""4. Considero que mi fe le otorga significado y propósito a mi vida.""}","{""Q0"":"" De acuerdo""}"
"","15318","SCSORF_05","SCSORF","survey-multi-choice-vertical","27","420588","0.0-35.0","{""Q0"":""5. Me considero activo/a en mi fe o iglesia.""}","{""Q0"":"" De acuerdo""}"
"","21069","SCSORF_06","SCSORF","survey-multi-choice-vertical","28","441672","0.0-36.0","{""Q0"":""6. Mi fe es una parte importante de quien soy como persona.""}","{""Q0"":"" De acuerdo""}"
"","9586","SCSORF_07","SCSORF","survey-multi-choice-vertical","29","451273","0.0-37.0","{""Q0"":""7. Mi relación con Dios es extremadamente importante para mí.""}","{""Q0"":"" En desacuerdo""}"
"","12509","SCSORF_08","SCSORF","survey-multi-choice-vertical","30","463800","0.0-38.0","{""Q0"":""8. Disfruto estando alrededor de otras personas que comparten mi fe.""}","{""Q0"":"" En desacuerdo""}"
"","4427","SCSORF_09","SCSORF","survey-multi-choice-vertical","31","468248","0.0-39.0","{""Q0"":""9. Veo mi fe como una fuente de comodidad.""}","{""Q0"":"" En desacuerdo""}"
"","3074","SCSORF_10","SCSORF","survey-multi-choice-vertical","32","471337","0.0-40.0","{""Q0"":""10. Mi fe impacta muchas de mis decisiones.""}","{""Q0"":"" En desacuerdo""}"
