"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":3276}]","3276","Instructions","SCSORF","instructions","21","165957","0.0-30.0","",""
"","8533","SCSORF_01","SCSORF","survey-multi-choice-vertical","22","174496","0.0-31.0","{""Q0"":""1. Mi fe religiosa es extremadamente importante para mí.""}","{""Q0"":"" De acuerdo""}"
"","2683","SCSORF_02","SCSORF","survey-multi-choice-vertical","23","177185","0.0-32.0","{""Q0"":""2. Rezo a diario.""}","{""Q0"":"" De acuerdo""}"
"","8604","SCSORF_03","SCSORF","survey-multi-choice-vertical","24","185793","0.0-33.0","{""Q0"":""3. Considero mi fe una fuente de inspiración""}","{""Q0"":"" En desacuerdo""}"
"","5717","SCSORF_04","SCSORF","survey-multi-choice-vertical","25","191515","0.0-34.0","{""Q0"":""4. Considero que mi fe le otorga significado y propósito a mi vida.""}","{""Q0"":"" En desacuerdo""}"
"","3606","SCSORF_05","SCSORF","survey-multi-choice-vertical","26","195126","0.0-35.0","{""Q0"":""5. Me considero activo/a en mi fe o iglesia.""}","{""Q0"":"" En desacuerdo""}"
"","12450","SCSORF_06","SCSORF","survey-multi-choice-vertical","27","207580","0.0-36.0","{""Q0"":""6. Mi fe es una parte importante de quien soy como persona.""}","{""Q0"":"" En desacuerdo""}"
"","3814","SCSORF_07","SCSORF","survey-multi-choice-vertical","28","211400","0.0-37.0","{""Q0"":""7. Mi relación con Dios es extremadamente importante para mí.""}","{""Q0"":"" De acuerdo""}"
"","4164","SCSORF_08","SCSORF","survey-multi-choice-vertical","29","215568","0.0-38.0","{""Q0"":""8. Disfruto estando alrededor de otras personas que comparten mi fe.""}","{""Q0"":"" En desacuerdo""}"
"","3516","SCSORF_09","SCSORF","survey-multi-choice-vertical","30","219089","0.0-39.0","{""Q0"":""9. Veo mi fe como una fuente de comodidad.""}","{""Q0"":"" En desacuerdo""}"
"","4471","SCSORF_10","SCSORF","survey-multi-choice-vertical","31","223564","0.0-40.0","{""Q0"":""10. Mi fe impacta muchas de mis decisiones.""}","{""Q0"":"" En desacuerdo""}"
