"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":12094}]","12094","Instructions","SCSORF","instructions","21","294819","0.0-30.0","",""
"","7187","SCSORF_01","SCSORF","survey-multi-choice-vertical","22","302014","0.0-31.0","{""Q0"":""1. Mi fe religiosa es extremadamente importante para mí.""}","{""Q0"":"" De acuerdo""}"
"","6301","SCSORF_02","SCSORF","survey-multi-choice-vertical","23","308321","0.0-32.0","{""Q0"":""2. Rezo a diario.""}","{""Q0"":"" De acuerdo""}"
"","4056","SCSORF_03","SCSORF","survey-multi-choice-vertical","24","312385","0.0-33.0","{""Q0"":""3. Considero mi fe una fuente de inspiración""}","{""Q0"":"" De acuerdo""}"
"","4711","SCSORF_04","SCSORF","survey-multi-choice-vertical","25","317103","0.0-34.0","{""Q0"":""4. Considero que mi fe le otorga significado y propósito a mi vida.""}","{""Q0"":"" De acuerdo""}"
"","12041","SCSORF_05","SCSORF","survey-multi-choice-vertical","26","329151","0.0-35.0","{""Q0"":""5. Me considero activo/a en mi fe o iglesia.""}","{""Q0"":"" En desacuerdo""}"
"","4130","SCSORF_06","SCSORF","survey-multi-choice-vertical","27","333289","0.0-36.0","{""Q0"":""6. Mi fe es una parte importante de quien soy como persona.""}","{""Q0"":"" De acuerdo""}"
"","5336","SCSORF_07","SCSORF","survey-multi-choice-vertical","28","338632","0.0-37.0","{""Q0"":""7. Mi relación con Dios es extremadamente importante para mí.""}","{""Q0"":"" Fuertemente de acuerdo""}"
"","6457","SCSORF_08","SCSORF","survey-multi-choice-vertical","29","345097","0.0-38.0","{""Q0"":""8. Disfruto estando alrededor de otras personas que comparten mi fe.""}","{""Q0"":"" De acuerdo""}"
"","5292","SCSORF_09","SCSORF","survey-multi-choice-vertical","30","350396","0.0-39.0","{""Q0"":""9. Veo mi fe como una fuente de comodidad.""}","{""Q0"":"" En desacuerdo""}"
"","6718","SCSORF_10","SCSORF","survey-multi-choice-vertical","31","357120","0.0-40.0","{""Q0"":""10. Mi fe impacta muchas de mis decisiones.""}","{""Q0"":"" De acuerdo""}"
