"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":4163}]","4165","Instructions","SCSORF","instructions","21","360085","0.0-30.0","",""
"","17525","SCSORF_01","SCSORF","survey-multi-choice-vertical","22","377625","0.0-31.0","{""Q0"":""1. Mi fe religiosa es extremadamente importante para mí.""}","{""Q0"":"" De acuerdo""}"
"","13339","SCSORF_02","SCSORF","survey-multi-choice-vertical","23","390978","0.0-32.0","{""Q0"":""2. Rezo a diario.""}","{""Q0"":"" En desacuerdo""}"
"","6777","SCSORF_03","SCSORF","survey-multi-choice-vertical","24","397768","0.0-33.0","{""Q0"":""3. Considero mi fe una fuente de inspiración""}","{""Q0"":"" De acuerdo""}"
"","8718","SCSORF_04","SCSORF","survey-multi-choice-vertical","25","406497","0.0-34.0","{""Q0"":""4. Considero que mi fe le otorga significado y propósito a mi vida.""}","{""Q0"":"" De acuerdo""}"
"","7640","SCSORF_05","SCSORF","survey-multi-choice-vertical","26","414149","0.0-35.0","{""Q0"":""5. Me considero activo/a en mi fe o iglesia.""}","{""Q0"":"" De acuerdo""}"
"","7261","SCSORF_06","SCSORF","survey-multi-choice-vertical","27","421424","0.0-36.0","{""Q0"":""6. Mi fe es una parte importante de quien soy como persona.""}","{""Q0"":"" De acuerdo""}"
"","5412","SCSORF_07","SCSORF","survey-multi-choice-vertical","28","426852","0.0-37.0","{""Q0"":""7. Mi relación con Dios es extremadamente importante para mí.""}","{""Q0"":"" De acuerdo""}"
"","9534","SCSORF_08","SCSORF","survey-multi-choice-vertical","29","436417","0.0-38.0","{""Q0"":""8. Disfruto estando alrededor de otras personas que comparten mi fe.""}","{""Q0"":"" En desacuerdo""}"
"","7222","SCSORF_09","SCSORF","survey-multi-choice-vertical","30","443652","0.0-39.0","{""Q0"":""9. Veo mi fe como una fuente de comodidad.""}","{""Q0"":"" En desacuerdo""}"
"","5015","SCSORF_10","SCSORF","survey-multi-choice-vertical","31","448675","0.0-40.0","{""Q0"":""10. Mi fe impacta muchas de mis decisiones.""}","{""Q0"":"" En desacuerdo""}"
