id,EAR_01_RAW,EAR_02_RAW,EAR_03_RAW,EAR_04_RAW,EAR_05_RAW,EAR_06_RAW,EAR_07_RAW,EAR_08_RAW,EAR_09_RAW,EAR_10_RAW,EAR_01_DIR,EAR_02_DIR,EAR_03_DIR,EAR_04_DIR,EAR_05_DIR,EAR_06_DIR,EAR_07_DIR,EAR_08_DIR,EAR_09_DIR,EAR_10_DIR,EAR_RAW_NA,EAR_DIR_NA,EAR_DIRt
0057227z4v,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,3,3,3,3,2,2,2,1,2,2,0,0,23
01ek6pnb5d,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,4,4,4,4,4,4,4,4,4,4,0,0,40
01u2u0ova7,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,3,3,3,3,3,3,3,2,2,2,0,0,27
029bvazwec,Muy de acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,4,3,3,4,3,3,3,3,2,3,0,0,31
03o86ert7y,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,4,4,4,4,4,4,4,2,4,4,0,0,38
066366627,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,2,2,2,2,2,2,2,2,2,2,0,0,20
0797nohsn7,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,3,3,3,2,2,3,2,2,2,3,0,0,25
07nusxprzu,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,3,3,3,3,2,3,3,2,3,3,0,0,28
083gwyuju4,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,4,4,4,3,3,3,4,2,3,3,0,0,33
097nsptf9p,Muy de acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,4,4,3,3,2,3,3,1,3,3,0,0,29
0azsjnjv8h,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,4,4,3,4,4,4,3,2,3,3,0,0,34
0e57w4jo5l,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,1,4,3,4,3,3,3,1,3,3,0,0,28
0g4bzzufl5,Muy de acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,4,4,3,3,2,2,2,3,3,3,0,0,29
0gp37ea8qk,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,4,4,4,4,4,4,4,4,4,4,0,0,40
0h5cls6t7u,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,2,2,2,2,2,2,2,1,1,2,0,0,18
0hmlz4cl4e,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,3,3,2,3,3,3,3,1,3,3,0,0,27
0lnc7qx6fp,De acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,3,3,4,3,1,4,4,2,3,3,0,0,30
0n2op4qlkl,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,4,4,3,1,1,4,4,2,4,4,0,0,31
0nde7p22d3,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,4,4,4,4,4,4,4,2,4,4,0,0,38
0o7nzb18js,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,2,4,4,2,4,4,4,4,4,4,0,0,36
0q858l7tbk,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,3,3,2,2,3,3,2,2,2,2,0,0,24
0rno3uzl0e,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,4,4,3,4,4,3,3,2,3,3,0,0,33
0ruvm5180t,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,3,3,3,3,2,3,3,1,1,4,0,0,26
0ugjce64oo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,4,4,3,3,3,4,3,2,3,3,0,0,32
0umgeoryw9,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,3,3,3,3,3,3,3,1,2,2,0,0,26
0vaavp49xk,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,4,4,4,4,4,3,3,1,1,1,0,0,29
0w6ssflgwx,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,2,3,2,3,3,3,2,1,2,2,0,0,23
0xzmpra3r8,Muy de acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,4,3,4,3,3,3,3,2,3,3,0,0,31
0y5a1124sk,De acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,3,4,4,4,4,3,3,2,4,4,0,0,35
10tuv9y1t0,Muy de acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,4,3,3,3,3,3,3,2,2,3,0,0,29
12coelxoyj,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,4,4,4,4,4,4,3,1,3,4,0,0,35
14385229586,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,4,4,4,4,4,4,4,3,3,4,0,0,38
1524o39vgp,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,3,3,3,3,2,3,3,3,3,4,0,0,30
17ugds2jor,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,2,3,3,3,3,3,3,1,1,2,0,0,24
1dzba3pc63,Muy de acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,4,3,4,3,4,4,4,3,4,4,0,0,37
1ga2040svz,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,4,4,4,4,1,4,4,2,4,4,0,0,35
1gcex58vx8,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,3,3,3,4,4,4,4,2,3,3,0,0,33
1hhe7yntyv,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,3,3,3,3,3,3,3,1,3,3,0,0,28
